process_id;category_name;product_id;product_name;unit;amount;price;total;selling_time
1;اخرى;815;بخور شيخ العرب ( عود );عود;1.0;0.75;0.75;10:20:59
2;مساحيق عادية;121;فل سايب;كيلو;1.0;8.0;8.0;10:21:08
3;سوائل;407;ديتول سائل;كيلو;1.25;4.0;5.0;10:21:17
4;سوائل;413;صابون سائل;كيلو;2.0;3.0;6.0;11:19:33
5;سوائل;412;كلور عادي;كيلو;1.0;1.0;1.0;11:19:40
6;مساحيق عادية;103;اريال صغير;كيس;1.0;10.0;10.0;11:20:05
7;مساحيق عادية;111;ليدر صغير;كيس;1.0;9.0;9.0;13:32:31
8;مستحضرات;314;بلوب واكس كبير;قطعة;1.0;14.0;14.0;13:32:47
9;مستحضرات;385;برفان لولوا اكياس;كيس;1.0;1.0;1.0;13:34:13
10;صابون تواليت;716;فاكس كبير عرض 2 بـ 7;عرض;1.0;7.0;7.0;13:34:25
11;اخرى;816;بخور شيخ العرب ( علبة );علبة;1.0;8.0;8.0;13:34:31
12;ورقيات;519;حفاضات سيتي بيبي كبير;حفاضة;1.0;1.5;1.5;14:00:27
