process_id;category_name;product_id;product_name;unit;amount;price;total;selling_time
1;مساحيق عادية;106;برسيل * 3 ج;كيس;3.0;3.0;9.0;13:19:39
2;مساحيق عادية;125;برسيل سايب;كيلو;0.5;13.0;6.5;13:19:47
3;اخرى;831;فلاش ارضيات;زجاجة;1.0;3.0;3.0;13:19:57
4;اخرى;820;كلوروكس ابيض ظرف;كيس;1.0;3.0;3.0;13:20:30
5;ورقيات;519;حفاضات سيتي بيبي كبير;حفاضة;1.0;1.5;1.5;13:20:48
6;سوائل;413;صابون سائل;كيلو;1.0;3.0;3.0;13:21:04
7;سوائل;415;بـ جنيه فنيك;بـ جنيه;1.0;1.0;1.0;13:21:12
8;مساحيق عادية;106;برسيل * 3 ج;كيس;1.0;3.0;3.0;14:33:11
9;اخرى;841;كلوروكس باودر;كيس;1.0;2.0;2.0;14:33:21
10;سوائل;413;صابون سائل;كيلو;2.0;3.0;6.0;18:11:50
11;سوائل;406;فنيك سائل;كيلو;0.5;7.0;3.5;18:11:57
12;سوائل;412;كلور عادي;كيلو;1.5;1.0;1.5;18:12:07
13;ورقيات;554;حفاضات سيتي بيبي ماكس;حفاضة;1.0;1.5;1.5;18:12:19
14;مبيدات;609;بخور ناموس قرص;قرص;4.0;1.25;5.0;18:12:25
15;صابون تواليت;710;سافانا;قطعة;1.0;5.0;5.0;19:42:24
