process_id;category_name;product_id;product_name;unit;amount;price;total;selling_time
1;مساحيق عادية;102;اريال * 3 ج;كيس;1.0;3.0;3.0;11:36:52
2;سوائل;412;كلور عادي;كيلو;2.0;1.0;2.0;11:37:01
3;سوائل;406;فنيك سائل;كيلو;1.0;7.0;7.0;11:37:07
4;ورقيات;554;حفاضات سيتي بيبي ماكس;حفاضة;6.0;1.5;9.0;12:07:29
5;مستحضرات;357;شامبو سباركل شريط;شريط;1.0;5.0;5.0;12:43:17
6;مساحيق عادية;111;ليدر صغير;كيس;1.0;9.0;9.0;12:43:27
7;مستحضرات;341;شامبو سباركل اكياس;قطعة;2.0;0.5;1.0;12:57:03
8;ورقيات;519;حفاضات سيتي بيبي كبير;حفاضة;4.0;1.5;6.0;12:57:12
9;سوائل;413;صابون سائل;كيلو;2.5;3.0;7.5;14:25:11
10;سوائل;412;كلور عادي;كيلو;1.0;1.0;1.0;14:25:17
11;مساحيق عادية;137;اريال 2 كيلو;كيس;1.0;46.0;46.0;14:25:26
12;مساحيق عادية;114;اوكسي صغير ;كيس;1.0;10.0;10.0;14:25:35
13;ورقيات;519;حفاضات سيتي بيبي كبير;حفاضة;1.0;1.5;1.5;14:25:46
14;مستحضرات;341;شامبو سباركل اكياس;قطعة;1.0;0.5;0.5;14:26:15
15;سوائل;413;صابون سائل;كيلو;2.0;3.0;6.0;14:30:27
16;صابون تواليت;718;رويال ليزر;قطعة;1.0;5.0;5.0;14:30:35
17;صابون تواليت;710;سافانا;قطعة;1.0;5.0;5.0;14:30:40
18;سوائل;413;صابون سائل;كيلو;2.0;3.0;6.0;15:56:00
19;ورقيات;519;حفاضات سيتي بيبي كبير;حفاضة;3.0;1.5;4.5;15:56:06
20;سوائل;413;صابون سائل;كيلو;2.0;3.0;6.0;17:37:03
21;ورقيات;519;حفاضات سيتي بيبي كبير;حفاضة;4.0;1.5;6.0;17:37:10
22;مستحضرات;303;زيت فاتيكا كبير;قطعة;1.0;11.0;11.0;17:37:22
23;مساحيق عادية;114;اوكسي صغير ;كيس;1.0;10.0;10.0;18:29:29
24;سوائل;418;برسيل جيل سايب;كيلو;5.0;4.0;20.0;18:29:36
25;سوائل;404;زهرة;كيلو;1.0;16.0;16.0;18:50:41
26;مستحضرات;336;سويت 3*1;قطعة;1.0;5.0;5.0;18:50:50
27;سوائل;412;كلور عادي;كيلو;4.0;1.0;4.0;19:31:19
28;مساحيق عادية;110;ليدر * 2 ج;كيس;3.0;2.0;6.0;19:31:24
