process_id;category_name;product_id;product_name;unit;amount;price;total;selling_time
1;ورقيات;519;حفاضات سيتي بيبي كبير;حفاضة;2.0;1.5;3.0;12:38:40
2;اخرى;856;سلك استانلس بريمو;قطعة;1.0;4.0;4.0;12:48:13
3;سوائل;410;دوني سائل;كيلو;1.0;4.0;4.0;15:24:27
4;مساحيق عادية;103;اريال صغير;كيس;1.0;10.0;10.0;15:24:32
5;اخرى;854;كلوروكس الوان ظرف كبير;كيس;1.0;5.0;5.0;15:24:43
6;اخرى;820;كلوروكس ابيض ظرف;كيس;1.0;3.0;3.0;15:24:48
7;سوائل;403;بطاس;كيلو;0.125;22.0;2.75;15:24:56
8;سوائل;412;كلور عادي;كيلو;1.0;1.0;1.0;15:25:07
9;اخرى;856;سلك استانلس بريمو;قطعة;1.0;4.0;4.0;16:23:27
10;سوائل;413;صابون سائل;كيلو;2.0;3.0;6.0;16:23:32
11;سوائل;422;مزيل بقع;كيلو;3.25;5.0;16.25;18:33:51
12;مساحيق عادية;101;اريال * 2 ج;كيس;3.0;2.0;6.0;18:34:00
13;ورقيات;509;اولويز كبير;كيس;1.0;12.0;12.0;19:07:09
14;مبيدات;609;بخور ناموس قرص;قرص;4.0;1.25;5.0;20:06:12
15;سوائل;413;صابون سائل;كيلو;1.0;3.0;3.0;20:28:18
16;مساحيق عادية;125;برسيل سايب;كيلو;0.25;13.0;3.25;20:28:28
17;مستحضرات;306;كريم فاتيكا كبير;قطعة;1.0;15.0;15.0;20:53:09
18;مستحضرات;358;شامبو شيروزا شريط;شريط;1.0;5.0;5.0;21:26:57
19;مبيدات;601;رش طائر بيرسول;زجاجة;1.0;12.0;12.0;21:27:05
