process_id;category_name;product_id;product_name;unit;amount;price;total;selling_time
1;مساحيق عادية;114;اوكسي صغير ;كيس;1.0;10.0;10.0;08:47:46
2;سوائل;410;دوني سائل;كيلو;0.5;4.0;2.0;08:47:54
3;سوائل;409;كلوروكس الوان سائل;كيلو;0.5;4.0;2.0;08:48:00
4;سوائل;412;كلور عادي;كيلو;1.0;1.0;1.0;08:48:09
5;سوائل;412;كلور عادي;كيلو;1.0;1.0;1.0;09:43:28
6;سوائل;410;دوني سائل;كيلو;0.25;4.0;1.0;09:43:37
7;مساحيق عادية;121;فل سايب;كيلو;0.25;8.0;2.0;09:44:00
8;اخرى;847;كيلو معطر ياسمين;كيلو;0.125;20.0;2.5;09:44:15
9;سوائل;406;فنيك سائل;كيلو;0.5;7.0;3.5;14:07:32
10;مساحيق عادية;128;اوكسي جيل الوان;كيس;5.0;1.5;7.5;14:36:40
11;اخرى;827;سلك مواعين;كيلو;0.125;20.0;2.5;14:36:52
12;مساحيق عادية;104;اريال كبير;كيس;1.0;25.0;25.0;14:37:00
13;اخرى;848;معطر بيروت بخاخ;زجاجة;1.0;20.0;20.0;14:37:13
14;اخرى;831;فلاش ارضيات;زجاجة;1.0;3.0;3.0;14:37:59
15;اخرى;827;سلك مواعين;كيلو;0.25;20.0;5.0;14:38:05
16;سوائل;412;كلور عادي;كيلو;3.0;1.0;3.0;14:38:14
17;سوائل;413;صابون سائل;كيلو;1.0;3.0;3.0;14:38:19
18;سوائل;413;صابون سائل;كيلو;5.0;3.0;15.0;17:07:30
19;سوائل;411;كلور خام;كيلو;3.0;3.0;9.0;17:07:36
20;سوائل;425;فانيش سايب;كيلو;0.5;10.0;5.0;17:07:44
21;سوائل;422;مزيل بقع;كيلو;0.5;5.0;2.5;17:07:56
22;اخرى;848;معطر بيروت بخاخ;زجاجة;1.0;20.0;20.0;17:08:37
23;ورقيات;540;شنطة سيتي بيبي كبير;شنطة;1.0;52.0;52.0;17:08:54
24;سوائل;425;فانيش سايب;كيلو;1.0;10.0;10.0;19:13:27
25;سوائل;412;كلور عادي;كيلو;2.0;1.0;2.0;19:13:32
26;سوائل;414;رغوة;كيلو;1.0;2.5;2.5;19:13:37
27;مساحيق عادية;104;اريال كبير;كيس;1.0;25.0;25.0;12:38:45
28;مساحيق عادية;121;فل سايب;كيلو;0.5;8.0;4.0;12:38:52
29;سوائل;412;كلور عادي;كيلو;1.0;1.0;1.0;12:39:00
30;سوائل;410;دوني سائل;كيلو;1.0;4.0;4.0;12:39:07
31;ورقيات;501;زينة جيب ( كيس );باكو;1.0;1.0;1.0;12:39:16
32;مبيدات;601;رش طائر بيرسول;زجاجة;2.0;12.0;24.0;12:39:27
33;مبيدات;609;بخور ناموس قرص;قرص;4.0;1.25;5.0;12:39:42
34;اخرى;816;بخور شيخ العرب ( علبة );علبة;1.0;8.0;8.0;12:40:03
35;اخرى;825;صابون اسمر عباد ( كرتونة );كرتونة;1.0;39.0;39.0;12:40:23
