process_id;category_name;product_id;product_name;unit;amount;price;total;selling_time
1;سوائل;414;رغوة;كيلو;3.0;2.5;7.5;10:11:14
2;سوائل;413;صابون سائل;كيلو;1.0;3.0;3.0;10:12:21
3;صابون تواليت;710;سافانا;قطعة;1.0;5.0;5.0;10:13:44
4;ورقيات;554;حفاضات سيتي بيبي ماكس;حفاضة;1.0;1.5;1.5;10:13:52
5;ورقيات;555;شنطة سيتي بيبي ماكس;شنطة;1.0;55.0;55.0;10:14:05
6;اخرى;827;سلك مواعين;كيلو;0.125;20.0;2.5;10:14:15
7;اخرى;820;كلوروكس ابيض ظرف;كيس;1.0;3.0;3.0;10:14:29
8;سوائل;404;زهرة;كيلو;0.125;16.0;2.0;10:14:38
9;سوائل;412;كلور عادي;كيلو;2.0;1.0;2.0;12:46:00
10;سوائل;413;صابون سائل;كيلو;0.5;3.0;1.5;12:46:06
11;سوائل;412;كلور عادي;كيلو;1.0;1.0;1.0;12:46:12
12;سوائل;413;صابون سائل;كيلو;1.0;3.0;3.0;12:46:17
13;مساحيق عادية;112;اوكسي * 2 ج;كيس;1.0;2.0;2.0;12:46:26
14;صابون تواليت;718;رويال ليزر;قطعة;2.0;5.0;10.0;12:46:36
15;سوائل;417;بـ جنيه بطاس;بـ جنيه;1.0;1.0;1.0;12:46:42
16;اخرى;827;سلك مواعين;كيلو;0.125;20.0;2.5;12:46:56
17;اخرى;827;سلك مواعين;كيلو;0.125;20.0;2.5;15:52:15
18;سوائل;413;صابون سائل;كيلو;2.0;3.0;6.0;15:52:31
19;اخرى;827;سلك مواعين;كيلو;0.125;20.0;2.5;15:52:40
20;مساحيق عادية;104;اريال كبير;كيس;2.0;25.0;50.0;15:52:48
21;ورقيات;519;حفاضات سيتي بيبي كبير;حفاضة;1.0;1.5;1.5;18:44:01
22;ورقيات;554;حفاضات سيتي بيبي ماكس;حفاضة;2.0;1.5;3.0;18:46:03
23;مساحيق عادية;101;اريال * 2 ج;كيس;3.0;2.0;6.0;18:56:36
24;مساحيق عادية;128;اوكسي جيل الوان;كيس;6.0;1.5;9.0;18:56:44
25;سوائل;412;كلور عادي;كيلو;1.0;1.0;1.0;19:00:40
26;اخرى;827;سلك مواعين;كيلو;0.125;20.0;2.5;19:12:33
27;مساحيق عادية;121;فل سايب;كيلو;1.25;8.0;10.0;19:24:12
28;صابون تواليت;701;دوش;قطعة;1.0;2.0;2.0;19:24:23
29;ورقيات;554;حفاضات سيتي بيبي ماكس;حفاضة;2.0;1.5;3.0;20:47:59
30;ورقيات;519;حفاضات سيتي بيبي كبير;حفاضة;1.0;1.5;1.5;20:48:08
31;مستحضرات;302;زيت فاتيكا وسط;قطعة;1.0;7.0;7.0;20:48:20
