process_id;category_name;product_id;product_name;unit;amount;price;total;selling_time
1;مساحيق عادية;102;اريال * 3 ج;كيس;1.0;3.0;3.0;11:26:17
2;مساحيق عادية;133;اريال *5ج;كيس;1.0;5.0;5.0;11:26:23
3;سوائل;413;صابون سائل;كيلو;1.0;3.0;3.0;11:26:30
4;سوائل;416;بـ جنيه زهرة;بـ جنيه;1.5;1.0;1.5;11:26:36
5;اخرى;827;سلك مواعين;كيلو;0.125;20.0;2.5;11:26:45
6;اخرى;824;صابون اسمر عباد ( قطعة );قطعة;2.0;1.5;3.0;11:26:53
7;سوائل;412;كلور عادي;كيلو;2.0;1.0;2.0;11:27:04
8;سوائل;412;كلور عادي;كيلو;1.5;1.0;1.5;13:45:26
9;سوائل;416;بـ جنيه زهرة;بـ جنيه;1.0;1.0;1.0;13:45:38
10;سوائل;410;دوني سائل;كيلو;0.25;4.0;1.0;13:45:45
11;سوائل;407;ديتول سائل;كيلو;0.5;4.0;2.0;13:45:49
12;سوائل;406;فنيك سائل;كيلو;0.5;7.0;3.5;13:45:56
13;سوائل;406;فنيك سائل;كيلو;0.5;7.0;3.5;13:46:01
14;مستحضرات;357;شامبو سباركل شريط;شريط;1.0;5.0;5.0;13:46:16
15;اخرى;827;سلك مواعين;كيلو;0.125;20.0;2.5;13:46:26
16;اخرى;824;صابون اسمر عباد ( قطعة );قطعة;2.0;1.5;3.0;13:46:32
17;اخرى;827;سلك مواعين;كيلو;0.125;20.0;2.5;13:47:03
18;مساحيق عادية;137;اريال 2 كيلو;كيس;2.0;48.0;96.0;13:47:10
19;سوائل;424;برسيل بلاك سايب;كيلو;0.5;10.0;5.0;13:47:16
20;ورقيات;553;زينة جيب( دستة );دستة;1.0;7.0;7.0;15:02:44
21;مبيدات;614;بودرة صراصير كيروكس;علبة;1.0;6.0;6.0;16:35:27
22;سوائل;413;صابون سائل;كيلو;1.0;3.0;3.0;19:27:27
23;سوائل;412;كلور عادي;كيلو;2.0;1.0;2.0;22:10:46
24;سوائل;408;شامبو سجاد;كيلو;1.0;4.0;4.0;22:11:04
25;مساحيق عادية;114;اوكسي صغير ;كيس;1.0;10.0;10.0;22:11:18
26;مستحضرات;315;منك واكس;قطعة;1.0;10.0;10.0;22:12:58
27;مبيدات;601;رش طائر بيرسول;زجاجة;2.0;12.0;24.0;22:50:48
