process_id;category_name;product_id;product_name;unit;amount;price;total;selling_time
1;مساحيق عادية;125;برسيل سايب;كيلو;0.5;13.0;6.5;11:17:42
2;مساحيق عادية;121;فل سايب;كيلو;0.5;8.0;4.0;11:17:48
3;سوائل;412;كلور عادي;كيلو;1.0;1.0;1.0;11:17:56
4;سوائل;422;مزيل بقع;كيلو;2.0;5.0;10.0;11:18:02
5;اخرى;841;كلوروكس باودر;كيس;2.0;2.0;4.0;11:18:10
6;اخرى;831;فلاش ارضيات;زجاجة;2.0;3.0;6.0;12:03:20
7;سوائل;407;ديتول سائل;كيلو;0.5;4.0;2.0;12:03:26
8;سوائل;406;فنيك سائل;كيلو;0.5;7.0;3.5;12:03:30
9;ورقيات;517;حفاضات سيتي بيبي صغير;حفاضة;3.0;1.5;4.5;16:38:22
10;ورقيات;519;حفاضات سيتي بيبي كبير;حفاضة;1.0;1.5;1.5;16:38:29
11;مساحيق عادية;112;اوكسي * 2 ج;كيس;1.0;2.0;2.0;16:38:37
12;ورقيات;509;اولويز كبير;كيس;1.0;12.0;12.0;16:38:50
13;مساحيق عادية;101;اريال * 2 ج;كيس;2.0;2.0;4.0;16:38:57
14;مبيدات;601;رش طائر بيرسول;زجاجة;1.0;12.0;12.0;16:39:08
15;مستحضرات;305;كريم فاتيكا وسط;قطعة;1.0;12.0;12.0;16:39:25
16;صابون تواليت;701;دوش;قطعة;1.0;2.0;2.0;16:39:38
17;اخرى;827;سلك مواعين;كيلو;0.125;20.0;2.5;17:03:56
18;ورقيات;519;حفاضات سيتي بيبي كبير;حفاضة;4.0;1.5;6.0;18:40:40
19;مستحضرات;337;كريم وان حساس;قطعة;2.0;10.0;20.0;19:11:52
20;اخرى;857;ماكينة حلاقة ناسيت;ماكينة;1.0;2.0;2.0;19:12:08
21;صابون تواليت;701;دوش;قطعة;1.0;2.0;2.0;19:21:48
22;مبيدات;601;رش طائر بيرسول;زجاجة;1.0;12.0;12.0;00:50:25
23;مبيدات;609;بخور ناموس قرص;قرص;4.0;1.25;5.0;00:50:40
