process_id;category_name;product_id;product_name;unit;amount;price;total;selling_time
1;مستحضرات;341;شامبو سباركل اكياس;قطعة;2.0;0.5;1.0;16:39:50
2;مستحضرات;306;كريم فاتيكا كبير;قطعة;1.0;15.0;15.0;16:40:01
3;سوائل;413;صابون سائل;كيلو;2.0;3.0;6.0;16:40:11
4;سوائل;422;مزيل بقع;كيلو;2.0;5.0;10.0;16:40:16
5;سوائل;412;كلور عادي;كيلو;1.5;1.0;1.5;16:40:21
6;مبيدات;605;بودرة صراصير راجون;علبة;1.0;3.5;3.5;16:40:32
7;اخرى;824;صابون اسمر عباد ( قطعة );قطعة;1.0;1.5;1.5;16:40:45
8;اخرى;827;سلك مواعين;كيلو;0.25;20.0;5.0;16:40:54
9;اخرى;856;سلك استانلس بريمو;قطعة;1.0;4.0;4.0;16:41:45
10;ورقيات;517;حفاضات سيتي بيبي صغير;حفاضة;2.0;1.5;3.0;16:42:05
11;سوائل;408;شامبو سجاد;كيلو;1.0;4.0;4.0;19:55:46
12;سوائل;409;كلوروكس الوان سائل;كيلو;0.5;4.0;2.0;19:55:51
13;سوائل;412;كلور عادي;كيلو;1.0;1.0;1.0;19:55:55
14;مساحيق عادية;125;برسيل سايب;كيلو;0.5;13.0;6.5;19:56:01
15;مبيدات;601;رش طائر بيرسول;زجاجة;1.0;12.0;12.0;19:56:09
16;مبيدات;615;رش طائر راجون 250;علبة;1.0;10.0;10.0;19:56:17
17;مبيدات;609;بخور ناموس قرص;قرص;4.0;1.25;5.0;01:59:43
