process_id;category_name;product_id;product_name;unit;amount;price;total;selling_time
1;ورقيات;519;حفاضات سيتي بيبي كبير;حفاضة;3.0;1.5;4.5;09:11:17
2;سوائل;407;ديتول سائل;كيلو;0.25;4.0;1.0;10:37:30
3;مساحيق عادية;125;برسيل سايب;كيلو;0.25;13.0;3.25;10:37:46
4;مساحيق عادية;126;برسيل جيل الوان;كيس;1.0;2.0;2.0;10:37:56
5;مستحضرات;378;زيت فاتيكا اكياس;كيس;2.0;0.5;1.0;10:38:07
6;صابون تواليت;710;سافانا;قطعة;1.0;5.0;5.0;10:38:19
7;مساحيق عادية;114;اوكسي صغير ;كيس;1.0;10.0;10.0;11:34:52
8;سوائل;409;كلوروكس الوان سائل;كيلو;0.5;4.0;2.0;11:35:03
9;مساحيق عادية;101;اريال * 2 ج;كيس;1.0;2.0;2.0;12:47:14
10;مستحضرات;358;شامبو شيروزا شريط;شريط;1.0;5.0;5.0;12:47:27
11;اخرى;827;سلك مواعين;كيلو;0.25;20.0;5.0;12:47:59
12;مساحيق اتوماتيك;221;ليدر اتوماتيك سايب;كيلو;1.0;15.0;15.0;14:13:37
13;سوائل;422;مزيل بقع;كيلو;1.0;5.0;5.0;14:13:44
14;سوائل;425;فانيش سايب;كيلو;0.5;10.0;5.0;14:13:55
15;مساحيق عادية;110;ليدر * 2 ج;كيس;2.0;2.0;4.0;14:14:10
16;اخرى;824;صابون اسمر عباد ( قطعة );قطعة;1.0;1.5;1.5;14:14:20
17;ورقيات;517;حفاضات سيتي بيبي صغير;حفاضة;3.0;1.5;4.5;16:52:19
18;ورقيات;507;سندريلا كبير;كيس;1.0;8.0;8.0;19:23:20
19;مساحيق عادية;121;فل سايب;كيلو;1.0;8.0;8.0;19:23:36
20;مساحيق عادية;128;اوكسي جيل الوان;كيس;3.0;1.5;4.5;19:41:43
21;ورقيات;554;حفاضات سيتي بيبي ماكس;حفاضة;2.0;1.5;3.0;19:45:17
22;مستحضرات;341;شامبو سباركل اكياس;قطعة;4.0;0.5;2.0;19:45:38
23;سوائل;411;كلور خام;كيلو;2.0;3.0;6.0;10:27:48
24;سوائل;410;دوني سائل;كيلو;1.0;4.0;4.0;10:27:58
