process_id;category_name;product_id;product_name;unit;amount;price;total;selling_time
1;مساحيق عادية;125;برسيل سايب;كيلو;0.5;13.0;6.5;08:51:03
2;سوائل;414;رغوة;كيلو;0.5;2.5;1.25;08:51:11
3;سوائل;413;صابون سائل;كيلو;6.0;3.0;18.0;10:33:54
4;سوائل;408;شامبو سجاد;كيلو;0.5;4.0;2.0;10:34:05
5;سوائل;412;كلور عادي;كيلو;2.0;1.0;2.0;10:34:10
6;سوائل;409;كلوروكس الوان سائل;كيلو;0.5;4.0;2.0;10:34:16
7;سوائل;422;مزيل بقع;كيلو;2.0;5.0;10.0;10:34:21
8;مستحضرات;331;جيل هير كود كيس;كيس;3.0;1.0;3.0;10:34:29
9;مستحضرات;340;شامبو شيروزا اكياس;قطعة;1.0;0.5;0.5;10:34:40
10;مستحضرات;305;كريم فاتيكا وسط;قطعة;1.0;12.0;12.0;10:34:48
11;مستحضرات;302;زيت فاتيكا وسط;قطعة;1.0;7.0;7.0;10:34:58
12;مساحيق عادية;130;اوكسي * 5 ج;كيس;1.0;5.0;5.0;10:35:10
13;مساحيق عادية;128;اوكسي جيل الوان;كيس;2.0;1.5;3.0;10:35:17
14;مساحيق عادية;104;اريال كبير;كيس;1.0;25.0;25.0;10:35:27
15;مساحيق عادية;114;اوكسي صغير ;كيس;1.0;10.0;10.0;10:35:35
16;مساحيق عادية;121;فل سايب;كيلو;0.5;8.0;4.0;10:35:45
17;مساحيق عادية;125;برسيل سايب;كيلو;0.25;13.0;3.25;10:35:54
18;اخرى;824;صابون اسمر عباد ( قطعة );قطعة;2.0;1.5;3.0;10:36:10
19;اخرى;827;سلك مواعين;كيلو;0.125;20.0;2.5;10:36:21
20;اخرى;854;كلوروكس الوان ظرف كبير;كيس;4.0;5.0;20.0;10:36:29
21;سوائل;412;كلور عادي;كيلو;1.0;1.0;1.0;10:41:35
22;سوائل;412;كلور عادي;كيلو;1.0;1.0;1.0;11:21:30
23;مساحيق عادية;121;فل سايب;كيلو;0.5;8.0;4.0;11:21:38
24;مساحيق عادية;121;فل سايب;كيلو;0.5;8.0;4.0;11:41:21
25;سوائل;413;صابون سائل;كيلو;1.0;3.0;3.0;11:41:31
26;سوائل;408;شامبو سجاد;كيلو;1.25;4.0;5.0;11:41:38
27;سوائل;409;كلوروكس الوان سائل;كيلو;1.25;4.0;5.0;11:41:46
28;سوائل;422;مزيل بقع;كيلو;0.5;5.0;2.5;11:41:51
29;صابون تواليت;710;سافانا;قطعة;1.0;5.0;5.0;11:41:59
30;سوائل;413;صابون سائل;كيلو;1.0;3.0;3.0;15:14:31
31;سوائل;422;مزيل بقع;كيلو;0.5;5.0;2.5;15:14:37
32;سوائل;413;صابون سائل;كيلو;1.0;3.0;3.0;16:07:44
33;سوائل;413;صابون سائل;كيلو;1.0;3.0;3.0;18:38:43
34;سوائل;410;دوني سائل;كيلو;0.25;4.0;1.0;18:38:49
35;سوائل;407;ديتول سائل;كيلو;0.5;4.0;2.0;18:39:00
36;سوائل;422;مزيل بقع;كيلو;0.25;5.0;1.25;18:39:11
37;مساحيق عادية;125;برسيل سايب;كيلو;0.25;13.0;3.25;18:39:30
38;مساحيق عادية;121;فل سايب;كيلو;0.25;8.0;2.0;18:39:47
39;مستحضرات;313;بلوب واكس صغير;قطعة;5.0;9.0;45.0;18:39:55
40;صابون تواليت;710;سافانا;قطعة;1.0;5.0;5.0;19:04:02
41;سوائل;412;كلور عادي;كيلو;4.0;1.0;4.0;19:56:35
42;مساحيق عادية;114;اوكسي صغير ;كيس;1.0;10.0;10.0;19:56:42
43;اخرى;824;صابون اسمر عباد ( قطعة );قطعة;3.0;1.5;4.5;19:56:53
44;اخرى;831;فلاش ارضيات;زجاجة;1.0;3.0;3.0;19:57:05
45;اخرى;834;فانيش ظرف بودر;كيس;1.0;5.0;5.0;20:18:51
46;مساحيق اتوماتيك;221;ليدر اتوماتيك سايب;كيلو;0.5;15.0;7.5;20:19:00
47;سوائل;409;كلوروكس الوان سائل;كيلو;1.0;4.0;4.0;20:19:11
48;سوائل;410;دوني سائل;كيلو;1.0;4.0;4.0;21:26:14
49;سوائل;422;مزيل بقع;كيلو;1.0;5.0;5.0;21:26:21
50;سوائل;414;رغوة;كيلو;0.5;2.5;1.25;21:26:25
51;مبيدات;609;بخور ناموس قرص;قرص;4.0;1.25;5.0;21:26:40
52;اخرى;824;صابون اسمر عباد ( قطعة );قطعة;2.0;1.5;3.0;21:54:25
53;اخرى;824;صابون اسمر عباد ( قطعة );قطعة;1.0;1.5;1.5;21:57:50
54;ورقيات;503;فاين بكر مطبخ;بكرة;1.0;5.0;5.0;21:57:59
55;صابون تواليت;716;فاكس كبير عرض 2 بـ 7;عرض;2.0;7.0;14.0;21:58:18
56;مساحيق عادية;102;اريال * 3 ج;كيس;1.0;3.0;3.0;21:58:48
57;مبيدات;601;رش طائر بيرسول;زجاجة;1.0;12.0;12.0;00:03:12
58;اخرى;833;موس لورد ازرق;علبة;1.0;3.5;3.5;00:03:30
