process_id;category_name;product_id;product_name;unit;amount;price;total;selling_time
1;مساحيق عادية;104;اريال كبير;كيس;1.0;25.0;25.0;13:05:59
2;مساحيق عادية;129;اوكسي جيل بلاك;كيس;1.0;1.5;1.5;13:06:07
3;سوائل;410;دوني سائل;كيلو;0.5;4.0;2.0;13:06:17
4;سوائل;413;صابون سائل;كيلو;1.0;3.0;3.0;13:06:23
5;سوائل;412;كلور عادي;كيلو;1.0;1.0;1.0;13:06:30
6;ورقيات;554;حفاضات سيتي بيبي ماكس;حفاضة;3.0;1.5;4.5;13:06:41
7;مساحيق اتوماتيك;221;ليدر اتوماتيك سايب;كيلو;0.5;15.0;7.5;13:18:02
8;سوائل;413;صابون سائل;كيلو;1.0;3.0;3.0;16:40:59
9;مساحيق عادية;128;اوكسي جيل الوان;كيس;2.0;1.5;3.0;16:41:15
10;مبيدات;601;رش طائر بيرسول;زجاجة;1.0;12.0;12.0;16:41:36
12;اخرى;827;سلك مواعين;كيلو;0.125;20.0;2.5;16:41:51
13;اخرى;857;ماكينة حلاقة ناسيت;ماكينة;1.0;2.0;2.0;16:42:00
14;اخرى;824;صابون اسمر عباد ( قطعة );قطعة;2.0;1.5;3.0;16:42:08
15;ورقيات;554;حفاضات سيتي بيبي ماكس;حفاضة;2.0;1.5;3.0;16:42:27
16;اخرى;815;بخور شيخ العرب ( عود );عود;1.0;0.75;0.75;17:53:48
17;اخرى;827;سلك مواعين;كيلو;0.125;20.0;2.5;17:53:58
18;اخرى;836;ورنيش معجون اسمر;علبة;1.0;7.0;7.0;17:54:19
19;مساحيق عادية;126;برسيل جيل الوان;كيس;1.0;2.0;2.0;19:46:15
