process_id;category_name;product_id;product_name;unit;amount;price;total;selling_time
1;مساحيق عادية;114;اوكسي صغير ;كيس;1.0;10.0;10.0;10:01:47
2;مساحيق اتوماتيك;212;اوكسي اتوماتيك سايب;كيلو;1.0;24.0;24.0;10:02:00
3;سوائل;414;رغوة;كيلو;2.0;2.5;5.0;10:02:16
4;سوائل;404;زهرة;كيلو;0.125;16.0;2.0;10:02:21
5;سوائل;412;كلور عادي;كيلو;1.0;1.0;1.0;10:02:28
6;اخرى;841;كلوروكس باودر;كيس;2.0;2.0;4.0;10:02:51
7;اخرى;820;كلوروكس ابيض ظرف;كيس;1.0;3.0;3.0;10:02:58
8;اخرى;827;سلك مواعين;كيلو;0.125;20.0;2.5;10:03:39
9;اخرى;824;صابون اسمر عباد ( قطعة );قطعة;2.0;1.5;3.0;10:04:49
10;مساحيق عادية;130;اوكسي * 5 ج;كيس;2.0;5.0;10.0;10:20:04
11;مساحيق عادية;104;اريال كبير;كيس;1.0;25.0;25.0;14:50:13
12;مساحيق عادية;103;اريال صغير;كيس;1.0;10.0;10.0;14:50:20
13;مساحيق عادية;102;اريال * 3 ج;كيس;2.0;3.0;6.0;14:50:26
14;مساحيق عادية;125;برسيل سايب;كيلو;0.5;13.0;6.5;14:50:31
15;مساحيق عادية;121;فل سايب;كيلو;3.25;8.0;26.0;14:50:44
16;سوائل;413;صابون سائل;كيلو;3.5;3.0;10.5;14:50:58
17;سوائل;412;كلور عادي;كيلو;3.5;1.0;3.5;14:51:08
18;ورقيات;519;حفاضات سيتي بيبي كبير;حفاضة;1.0;1.5;1.5;14:51:15
19;ورقيات;554;حفاضات سيتي بيبي ماكس;حفاضة;3.0;1.5;4.5;14:51:23
20;مبيدات;601;رش طائر بيرسول;زجاجة;1.0;12.0;12.0;14:51:32
21;صابون تواليت;701;دوش;قطعة;1.0;2.0;2.0;14:51:43
22;اخرى;827;سلك مواعين;كيلو;0.5;20.0;10.0;14:51:52
23;اخرى;824;صابون اسمر عباد ( قطعة );قطعة;1.0;1.5;1.5;14:51:58
24;اخرى;854;كلوروكس الوان ظرف كبير;كيس;3.0;5.0;15.0;14:52:06
25;سوائل;404;زهرة;كيلو;0.125;16.0;2.0;14:53:08
