process_id;category_name;product_id;product_name;unit;amount;price;total;selling_time
1;ورقيات;519;حفاضات سيتي بيبي كبير;حفاضة;9.0;1.5;13.5;13:09:40
2;سوائل;422;مزيل بقع;كيلو;0.5;5.0;2.5;13:09:55
3;سوائل;413;صابون سائل;كيلو;3.0;3.0;9.0;13:10:22
4;سوائل;406;فنيك سائل;كيلو;0.25;7.0;1.75;13:10:51
5;سوائل;407;ديتول سائل;كيلو;0.25;4.0;1.0;13:10:58
6;سوائل;412;كلور عادي;كيلو;0.5;1.0;0.5;13:11:07
7;سوائل;411;كلور خام;كيلو;1.0;3.0;3.0;13:11:13
8;سوائل;412;كلور عادي;كيلو;1.0;1.0;1.0;13:11:23
9;مساحيق عادية;114;اوكسي صغير ;كيس;1.0;10.0;10.0;13:11:41
10;مساحيق عادية;128;اوكسي جيل الوان;كيس;2.0;1.5;3.0;13:11:53
11;مساحيق عادية;125;برسيل سايب;كيلو;0.25;13.0;3.25;13:12:03
12;مبيدات;609;بخور ناموس قرص;قرص;2.0;1.25;2.5;13:12:27
13;اخرى;818;كلوروكس الوان ظرف;كيس;1.0;1.5;1.5;13:12:39
14;مستحضرات;306;كريم فاتيكا كبير;قطعة;1.0;15.0;15.0;13:13:06
15;مستحضرات;387;شامبو هيد اكياس عرض;شريط;3.0;1.0;3.0;13:13:34
16;مستحضرات;336;سويت 3*1;قطعة;1.0;5.0;5.0;13:13:42
17;مبيدات;609;بخور ناموس قرص;قرص;4.0;1.25;5.0;13:13:53
18;سوائل;412;كلور عادي;كيلو;4.0;1.0;4.0;15:44:24
19;مساحيق عادية;110;ليدر * 2 ج;كيس;3.0;2.0;6.0;15:44:35
20;ورقيات;519;حفاضات سيتي بيبي كبير;حفاضة;1.0;1.5;1.5;15:44:45
21;سوائل;410;دوني سائل;كيلو;0.5;4.0;2.0;16:29:00
22;مستحضرات;336;سويت 3*1;قطعة;1.0;5.0;5.0;16:29:08
23;اخرى;827;سلك مواعين;كيلو;0.125;20.0;2.5;16:29:20
24;اخرى;852;ماكينة حلاقة لورد;قطعة;1.0;3.0;3.0;16:35:55
25;مستحضرات;303;زيت فاتيكا كبير;قطعة;1.0;11.0;11.0;16:47:10
26;مستحضرات;336;سويت 3*1;قطعة;1.0;5.0;5.0;17:46:55
27;مستحضرات;337;كريم وان حساس;قطعة;1.0;10.0;10.0;17:47:04
28;سوائل;413;صابون سائل;كيلو;1.0;3.0;3.0;18:13:48
29;سوائل;412;كلور عادي;كيلو;1.0;1.0;1.0;18:13:54
30;صابون تواليت;710;سافانا;قطعة;3.0;5.0;15.0;18:14:03
31;مستحضرات;387;شامبو هيد اكياس عرض;شريط;1.0;1.0;1.0;19:36:13
32;ورقيات;554;حفاضات سيتي بيبي ماكس;حفاضة;1.0;1.5;1.5;19:36:27
