process_id;category_name;product_id;product_name;unit;amount;price;total;selling_time
1;مساحيق عادية;130;اوكسي * 5 ج;كيس;1.0;5.0;5.0;09:44:29
2;مساحيق عادية;110;ليدر * 2 ج;كيس;2.0;2.0;4.0;09:44:35
3;مستحضرات;341;شامبو سباركل اكياس;قطعة;4.0;0.5;2.0;09:44:49
4;سوائل;412;كلور عادي;كيلو;4.0;1.0;4.0;09:45:04
5;سوائل;413;صابون سائل;كيلو;1.0;3.0;3.0;09:45:10
6;ورقيات;554;حفاضات سيتي بيبي ماكس;حفاضة;2.0;1.5;3.0;09:45:24
7;مساحيق عادية;121;فل سايب;كيلو;1.0;8.0;8.0;09:45:43
8;مساحيق عادية;102;اريال * 3 ج;كيس;2.0;3.0;6.0;10:59:23
9;سوائل;414;رغوة;كيلو;0.5;2.5;1.25;10:59:33
10;سوائل;411;كلور خام;كيلو;1.0;3.0;3.0;10:59:39
11;سوائل;412;كلور عادي;كيلو;1.0;1.0;1.0;15:40:32
12;سوائل;412;كلور عادي;كيلو;2.0;1.0;2.0;15:40:43
13;سوائل;422;مزيل بقع;كيلو;4.0;5.0;20.0;15:40:51
14;مساحيق عادية;125;برسيل سايب;كيلو;1.5;13.0;19.5;15:41:05
15;صابون تواليت;713;دورو فريش;علبة;1.0;16.0;16.0;15:41:21
16;صابون تواليت;716;فاكس كبير عرض 2 بـ 7;عرض;2.0;7.0;14.0;15:41:30
17;مبيدات;605;بودرة صراصير راجون;علبة;4.0;3.5;14.0;00:34:33
18;سوائل;413;صابون سائل;كيلو;2.0;3.0;6.0;00:34:41
19;مساحيق عادية;114;اوكسي صغير ;كيس;2.0;10.0;20.0;00:34:52
