process_id;category_name;product_id;product_name;unit;amount;price;total;selling_time
1;مساحيق عادية;128;اوكسي جيل الوان;كيس;2.0;1.5;3.0;11:53:20
2;سوائل;413;صابون سائل;كيلو;1.5;3.0;4.5;11:53:29
3;سوائل;412;كلور عادي;كيلو;3.0;1.0;3.0;11:53:34
4;مستحضرات;378;زيت فاتيكا اكياس;كيس;4.0;0.5;2.0;11:53:45
5;ورقيات;509;اولويز كبير;كيس;1.0;12.0;12.0;11:53:58
6;صابون تواليت;718;رويال ليزر;قطعة;2.0;5.0;10.0;15:41:58
7;سوائل;412;كلور عادي;كيلو;1.0;1.0;1.0;17:18:15
8;سوائل;409;كلوروكس الوان سائل;كيلو;1.0;4.0;4.0;17:18:19
