process_id;category_name;product_id;product_name;unit;amount;price;total;selling_time
1;مساحيق عادية;121;فل سايب;كيلو;1.0;8.0;8.0;09:29:45
2;سوائل;413;صابون سائل;كيلو;1.0;3.0;3.0;09:29:58
3;سوائل;413;صابون سائل;كيلو;1.0;3.0;3.0;09:30:06
4;سوائل;407;ديتول سائل;كيلو;1.0;4.0;4.0;09:30:30
5;اخرى;827;سلك مواعين;كيلو;0.125;20.0;2.5;09:30:43
6;اخرى;841;كلوروكس باودر;كيس;1.0;2.0;2.0;09:30:51
7;سوائل;413;صابون سائل;كيلو;1.0;3.0;3.0;09:56:49
8;مساحيق عادية;114;اوكسي صغير ;كيس;1.0;10.0;10.0;10:16:30
9;مساحيق عادية;101;اريال * 2 ج;كيس;2.0;2.0;4.0;11:04:30
10;مساحيق عادية;104;اريال كبير;كيس;1.0;25.0;25.0;11:04:39
11;مساحيق عادية;128;اوكسي جيل الوان;كيس;4.0;1.5;6.0;11:04:48
12;مساحيق عادية;121;فل سايب;كيلو;0.5;8.0;4.0;11:05:04
13;سوائل;411;كلور خام;كيلو;1.0;3.0;3.0;11:05:15
14;سوائل;413;صابون سائل;كيلو;1.0;3.0;3.0;11:21:17
15;صابون تواليت;716;فاكس كبير عرض 2 بـ 7;عرض;1.0;7.0;7.0;11:22:08
16;مساحيق عادية;101;اريال * 2 ج;كيس;2.0;2.0;4.0;12:41:13
17;مساحيق عادية;121;فل سايب;كيلو;1.25;8.0;10.0;12:41:22
18;صابون تواليت;716;فاكس كبير عرض 2 بـ 7;عرض;1.0;7.0;7.0;12:41:32
19;سوائل;404;زهرة;كيلو;0.125;16.0;2.0;12:45:40
20;سوائل;413;صابون سائل;كيلو;0.5;3.0;1.5;13:26:02
21;مساحيق عادية;110;ليدر * 2 ج;كيس;1.0;2.0;2.0;13:26:12
22;صابون تواليت;718;رويال ليزر;قطعة;1.0;5.0;5.0;13:26:24
23;مساحيق عادية;121;فل سايب;كيلو;0.625;8.0;5.0;13:33:56
24;سوائل;414;رغوة;كيلو;1.0;2.5;2.5;14:22:17
25;سوائل;408;شامبو سجاد;كيلو;2.5;4.0;10.0;15:46:44
26;سوائل;413;صابون سائل;كيلو;3.0;3.0;9.0;15:46:49
27;اخرى;827;سلك مواعين;كيلو;0.125;20.0;2.5;15:47:05
28;مساحيق عادية;125;برسيل سايب;كيلو;0.5;13.0;6.5;17:24:42
29;مساحيق عادية;121;فل سايب;كيلو;0.25;8.0;2.0;17:25:02
30;سوائل;412;كلور عادي;كيلو;1.0;1.0;1.0;17:25:10
31;ورقيات;554;حفاضات سيتي بيبي ماكس;حفاضة;7.0;1.5;10.5;17:25:20
32;صابون تواليت;710;سافانا;قطعة;1.0;5.0;5.0;17:25:26
33;اخرى;835;ورنيش سائل اسمر;علبة;1.0;7.0;7.0;17:25:39
34;اخرى;827;سلك مواعين;كيلو;0.25;20.0;5.0;18:29:42
35;مساحيق اتوماتيك;212;اوكسي اتوماتيك سايب;كيلو;0.5;24.0;12.0;18:29:50
36;سوائل;407;ديتول سائل;كيلو;0.5;4.0;2.0;18:30:19
37;سوائل;406;فنيك سائل;كيلو;0.5;7.0;3.5;18:30:27
38;مساحيق اتوماتيك;212;اوكسي اتوماتيك سايب;كيلو;0.5;24.0;12.0;19:46:54
39;صابون تواليت;718;رويال ليزر;قطعة;1.0;5.0;5.0;20:05:29
