process_id;category_name;product_id;product_name;unit;amount;price;total;selling_time
1;مساحيق عادية;104;اريال كبير;كيس;1.0;25.0;25.0;10:02:55
2;مساحيق عادية;125;برسيل سايب;كيلو;0.25;13.0;3.25;10:03:05
3;مساحيق عادية;121;فل سايب;كيلو;0.25;8.0;2.0;10:03:13
4;مستحضرات;314;بلوب واكس كبير;قطعة;1.0;14.0;14.0;10:03:20
5;سوائل;407;ديتول سائل;كيلو;0.5;4.0;2.0;10:03:31
6;سوائل;412;كلور عادي;كيلو;1.0;1.0;1.0;10:03:39
7;ورقيات;519;حفاضات سيتي بيبي كبير;حفاضة;2.0;1.5;3.0;10:03:54
8;اخرى;820;كلوروكس ابيض ظرف;كيس;2.0;3.0;6.0;10:04:10
9;اخرى;854;كلوروكس الوان ظرف كبير;كيس;2.0;5.0;10.0;10:04:18
10;سوائل;413;صابون سائل;كيلو;2.0;3.0;6.0;13:59:32
11;اخرى;827;سلك مواعين;كيلو;0.125;20.0;2.5;13:59:39
12;مساحيق عادية;104;اريال كبير;كيس;1.0;25.0;25.0;17:15:45
13;سوائل;418;برسيل جيل سايب;كيلو;0.5;4.0;2.0;17:15:59
14;سوائل;412;كلور عادي;كيلو;2.0;1.0;2.0;17:16:04
15;ورقيات;504;ليدو سحب 750;علبة;1.0;16.0;16.0;17:16:25
16;سوائل;413;صابون سائل;كيلو;1.0;3.0;3.0;20:30:09
