process_id;category_name;product_id;product_name;unit;amount;price;total;selling_time
1;مساحيق عادية;138;اوكسي 650 جرام;كيس;1.0;14.0;14.0;08:47:27
2;سوائل;422;مزيل بقع;كيلو;0.5;5.0;2.5;08:47:39
3;سوائل;413;صابون سائل;كيلو;1.0;3.0;3.0;08:47:45
4;ورقيات;519;حفاضات سيتي بيبي كبير;حفاضة;1.0;1.5;1.5;08:47:55
5;مستحضرات;385;برفان لولوا اكياس;كيس;1.0;1.0;1.0;08:48:03
6;اخرى;824;صابون اسمر عباد ( قطعة );قطعة;1.0;1.5;1.5;08:48:15
7;مساحيق عادية;112;اوكسي * 2 ج;كيس;1.0;2.0;2.0;09:48:57
8;مساحيق عادية;106;برسيل * 3 ج;كيس;1.0;3.0;3.0;09:49:07
9;مساحيق عادية;121;فل سايب;كيلو;0.25;8.0;2.0;09:49:23
10;سوائل;418;برسيل جيل سايب;كيلو;0.5;4.0;2.0;09:49:49
11;سوائل;403;بطاس;كيلو;0.25;22.0;5.5;09:49:55
12;سوائل;414;رغوة;كيلو;1.0;2.5;2.5;09:50:05
13;سوائل;412;كلور عادي;كيلو;1.0;1.0;1.0;09:50:11
14;مستحضرات;341;شامبو سباركل اكياس;قطعة;1.0;0.5;0.5;09:50:26
15;ورقيات;519;حفاضات سيتي بيبي كبير;حفاضة;3.0;1.5;4.5;09:50:37
16;سوائل;412;كلور عادي;كيلو;2.0;1.0;2.0;09:56:46
17;مساحيق عادية;110;ليدر * 2 ج;كيس;2.0;2.0;4.0;09:57:01
18;مساحيق عادية;121;فل سايب;كيلو;2.5;8.0;20.0;11:25:55
19;مساحيق عادية;125;برسيل سايب;كيلو;0.25;13.0;3.25;11:26:05
20;مساحيق عادية;121;فل سايب;كيلو;0.25;8.0;2.0;11:26:14
21;سوائل;414;رغوة;كيلو;1.0;2.5;2.5;11:26:29
22;سوائل;408;شامبو سجاد;كيلو;2.0;4.0;8.0;11:26:35
23;سوائل;409;كلوروكس الوان سائل;كيلو;0.5;4.0;2.0;11:26:42
24;سوائل;422;مزيل بقع;كيلو;0.25;5.0;1.25;11:26:55
25;اخرى;827;سلك مواعين;كيلو;0.25;20.0;5.0;11:27:09
26;سوائل;413;صابون سائل;كيلو;2.165;3.0;6.495;11:27:45
27;مستحضرات;340;شامبو شيروزا اكياس;قطعة;1.0;0.5;0.5;11:31:20
28;سوائل;412;كلور عادي;كيلو;6.0;1.0;6.0;11:31:36
29;مساحيق اتوماتيك;208;تايد 8 كيلو;شنطة;1.0;175.0;175.0;14:04:54
30;سوائل;404;زهرة;كيلو;0.5;16.0;8.0;14:09:33
31;مستحضرات;387;شامبو هيد اكياس عرض;شريط;5.0;1.0;5.0;14:09:54
32;مستحضرات;379;جيل فريش 1/2 كيلو;علبة;1.0;10.0;10.0;14:10:07
33;مساحيق اتوماتيك;203;ايريال اتوماتيك سايب;كيلو;0.2;30.0;6.0;15:00:37
34;مستحضرات;386;سويت حرير;قطعة;1.0;5.0;5.0;18:10:42
35;مستحضرات;337;كريم وان حساس;قطعة;1.0;10.0;10.0;18:10:52
36;ورقيات;519;حفاضات سيتي بيبي كبير;حفاضة;4.0;1.5;6.0;18:11:00
37;اخرى;852;ماكينة حلاقة لورد;قطعة;1.0;3.0;3.0;18:11:35
38;مساحيق عادية;130;اوكسي * 5 ج;كيس;3.0;5.0;15.0;18:11:56
39;مساحيق عادية;126;برسيل جيل الوان;كيس;1.0;2.0;2.0;18:12:06
40;مساحيق عادية;103;اريال صغير;كيس;1.0;10.0;10.0;18:12:12
41;مساحيق عادية;125;برسيل سايب;كيلو;0.25;13.0;3.25;18:12:54
42;سوائل;410;دوني سائل;كيلو;0.5;4.0;2.0;18:13:09
43;سوائل;409;كلوروكس الوان سائل;كيلو;0.5;4.0;2.0;18:13:16
44;سوائل;406;فنيك سائل;كيلو;4.0;7.0;28.0;19:47:24
45;سوائل;412;كلور عادي;كيلو;5.0;1.0;5.0;19:47:31
46;سوائل;413;صابون سائل;كيلو;7.5;3.0;22.5;19:47:40
47;سوائل;413;صابون سائل;كيلو;7.5;3.0;22.5;19:50:41
48;مبيدات;609;بخور ناموس قرص;قرص;2.0;1.25;2.5;20:24:15
49;ورقيات;517;حفاضات سيتي بيبي صغير;حفاضة;3.0;1.5;4.5;20:50:52
50;مستحضرات;333;فير اند لافلي كيس;كيس;1.0;1.5;1.5;20:51:04
51;صابون تواليت;710;سافانا;قطعة;1.0;5.0;5.0;20:55:33
52;مستحضرات;336;سويت 3*1;قطعة;1.0;5.0;5.0;21:18:59
53;مساحيق عادية;130;اوكسي * 5 ج;كيس;1.0;5.0;5.0;21:19:06
54;سوائل;413;صابون سائل;كيلو;2.0;3.0;6.0;21:19:12
55;اخرى;832;شاهين بوتجاز;زجاجة;1.0;3.5;3.5;21:19:38
56;مبيدات;605;بودرة صراصير راجون;علبة;1.0;3.5;3.5;21:19:45
57;اخرى;840;زجاجة معطر ياسمين;زجاجة;0.25;20.0;5.0;21:20:17
58;مساحيق عادية;126;برسيل جيل الوان;كيس;1.0;2.0;2.0;21:21:19
