process_id;category_name;product_id;product_name;unit;amount;price;total;selling_time
1;مساحيق عادية;102;اريال * 3 ج;كيس;2.0;3.0;6.0;11:32:11
2;مساحيق اتوماتيك;212;اوكسي اتوماتيك سايب;كيلو;0.5;24.0;12.0;11:32:18
3;مستحضرات;341;شامبو سباركل اكياس;قطعة;1.0;0.5;0.5;11:32:35
4;مستحضرات;333;فير اند لافلي كيس;كيس;1.0;1.5;1.5;11:32:43
5;سوائل;412;كلور عادي;كيلو;1.5;1.0;1.5;11:32:56
6;سوائل;413;صابون سائل;كيلو;1.0;3.0;3.0;11:33:02
7;صابون تواليت;713;دورو فريش;علبة;1.0;16.0;16.0;11:33:15
8;اخرى;824;صابون اسمر عباد ( قطعة );قطعة;2.0;1.5;3.0;11:33:26
9;اخرى;846;كيلو معطر خوخ;كيلو;0.25;20.0;5.0;11:33:38
10;سوائل;403;بطاس;كيلو;0.25;22.0;5.5;11:33:48
11;مساحيق عادية;125;برسيل سايب;كيلو;0.5;13.0;6.5;11:34:03
12;سوائل;412;كلور عادي;كيلو;1.0;1.0;1.0;11:24:50
13;اخرى;824;صابون اسمر عباد ( قطعة );قطعة;1.0;1.5;1.5;11:25:04
14;مستحضرات;341;شامبو سباركل اكياس;قطعة;4.0;0.5;2.0;11:25:20
15;مستحضرات;357;شامبو سباركل شريط;شريط;1.0;5.0;5.0;11:25:28
16;ورقيات;554;حفاضات سيتي بيبي ماكس;حفاضة;2.0;1.5;3.0;11:25:48
17;مساحيق عادية;125;برسيل سايب;كيلو;0.5;13.0;6.5;11:25:57
