process_id;category_name;product_id;product_name;unit;amount;price;total;selling_time
1;مساحيق عادية;121;فل سايب;كيلو;1.0;8.0;8.0;09:47:12
2;مستحضرات;365;فازلين طبي;علبة;2.0;2.0;4.0;09:47:27
3;سوائل;409;كلوروكس الوان سائل;كيلو;1.0;4.0;4.0;09:47:40
4;سوائل;414;رغوة;كيلو;1.0;2.5;2.5;09:47:46
5;سوائل;413;صابون سائل;كيلو;0.5;3.0;1.5;09:47:58
6;صابون تواليت;718;رويال ليزر;قطعة;1.0;5.0;5.0;09:48:11
7;مساحيق اتوماتيك;212;اوكسي اتوماتيك سايب;كيلو;1.0;24.0;24.0;10:36:03
8;اخرى;820;كلوروكس ابيض ظرف;كيس;1.0;3.0;3.0;10:36:16
9;مساحيق عادية;101;اريال * 2 ج;كيس;4.0;2.0;8.0;11:39:09
10;مساحيق عادية;128;اوكسي جيل الوان;كيس;4.0;1.5;6.0;11:39:18
11;سوائل;404;زهرة;كيلو;0.125;16.0;2.0;11:39:27
12;سوائل;411;كلور خام;كيلو;1.0;3.0;3.0;11:39:32
13;سوائل;412;كلور عادي;كيلو;1.0;1.0;1.0;11:39:38
14;سوائل;414;رغوة;كيلو;1.0;2.5;2.5;12:10:00
15;سوائل;412;كلور عادي;كيلو;1.0;1.0;1.0;12:10:04
16;اخرى;827;سلك مواعين;كيلو;0.125;20.0;2.5;12:10:14
17;اخرى;815;بخور شيخ العرب ( عود );عود;2.0;0.75;1.5;12:10:20
18;سوائل;413;صابون سائل;كيلو;0.5;3.0;1.5;12:10:27
19;مستحضرات;341;شامبو سباركل اكياس;قطعة;2.0;0.5;1.0;12:10:39
20;مساحيق عادية;106;برسيل * 3 ج;كيس;2.0;3.0;6.0;12:10:50
21;مساحيق عادية;126;برسيل جيل الوان;كيس;1.0;2.0;2.0;12:11:11
22;سوائل;412;كلور عادي;كيلو;1.0;1.0;1.0;12:44:03
23;ورقيات;501;زينة جيب ( كيس );باكو;1.0;1.0;1.0;12:44:10
24;اخرى;827;سلك مواعين;كيلو;0.125;20.0;2.5;12:44:18
25;اخرى;824;صابون اسمر عباد ( قطعة );قطعة;2.0;1.5;3.0;12:44:33
26;اخرى;820;كلوروكس ابيض ظرف;كيس;1.0;3.0;3.0;13:11:30
27;اخرى;834;فانيش ظرف بودر;كيس;1.0;5.0;5.0;13:11:47
28;مساحيق عادية;125;برسيل سايب;كيلو;0.5;13.0;6.5;13:11:57
29;ورقيات;540;شنطة سيتي بيبي كبير;شنطة;1.0;52.0;52.0;14:12:09
30;ورقيات;554;حفاضات سيتي بيبي ماكس;حفاضة;2.0;1.5;3.0;14:12:19
31;ورقيات;519;حفاضات سيتي بيبي كبير;حفاضة;1.0;1.5;1.5;14:12:26
32;اخرى;852;ماكينة حلاقة لورد;قطعة;1.0;3.0;3.0;15:45:21
33;اخرى;818;كلوروكس الوان ظرف;كيس;1.0;1.5;1.5;16:07:16
34;مستحضرات;313;بلوب واكس صغير;قطعة;1.0;9.0;9.0;16:07:26
35;مساحيق عادية;130;اوكسي * 5 ج;كيس;1.0;5.0;5.0;16:07:34
36;سوائل;413;صابون سائل;كيلو;1.5;3.0;4.5;16:07:41
37;ورقيات;519;حفاضات سيتي بيبي كبير;حفاضة;1.0;1.5;1.5;16:27:18
38;مبيدات;607;اقراص ناموس كيتو;قرص;1.0;0.5;0.5;16:27:25
39;صابون تواليت;718;رويال ليزر;قطعة;1.0;5.0;5.0;16:50:14
40;اخرى;824;صابون اسمر عباد ( قطعة );قطعة;1.0;1.5;1.5;16:50:28
41;مستحضرات;365;فازلين طبي;علبة;5.0;2.0;10.0;17:26:00
