process_id;category_name;product_id;product_name;unit;amount;price;total;selling_time
1;مساحيق عادية;102;اريال * 3 ج;كيس;1;3;3;11:05:21
2;سوائل;408;شامبو سجاد;كيلو;1;4;4;11:05:35
3;سوائل;409;كلوروكس الوان سائل;كيلو;1.5;4;6;11:05:42
4;سوائل;422;مزيل بقع;كيلو;1;5;5;11:05:46
5;مستحضرات;385;برفان لولوا اكياس;كيس;1;1;1;13:51:58
6;ورقيات;519;حفاضات سيتي بيبي كبير;حفاضة;1;1.5;1.5;13:52:07
7;سوائل;404;زهرة;كيلو;0.125;16;2;13:52:17
8;سوائل;413;صابون سائل;كيلو;1;3;3;13:52:23
9;سوائل;413;صابون سائل;كيلو;2;3;6;13:52:38
10;مساحيق عادية;125;برسيل سايب;كيلو;0.25;13;3.25;13:52:46
11;سوائل;413;صابون سائل;كيلو;2;3;6;15:52:22
12;سوائل;414;"رغوة";كيلو;1;2.5;2.5;20:01:29
13;سوائل;413;صابون سائل;كيلو;1;3;3;20:01:32
14;مساحيق عادية;125;برسيل سايب;كيلو;0.5;13;6.5;20:11:47
15;صابون تواليت;718;رويال ليزر;قطعة;2;5;10;20:11:54
16;مبيدات;609;بخور ناموس قرص;قرص;4;1.25;5;20:33:21
17;مبيدات;609;بخور ناموس قرص;قرص;2;1.25;2.5;21:30:13
18;مساحيق عادية;121;فل سايب;كيلو;0.5;8;4;21:30:24
19;مبيدات;615;رش طائر راجون 250;علبة;1;10;10;21:30:36
20;صابون تواليت;701;دوش;قطعة;1;2;2;21:30:46
21;سوائل;422;مزيل بقع;كيلو;1;5;5;21:30:55
22;سوائل;412;كلور عادي;كيلو;1;1;1;21:31:00
23;ورقيات;518;حفاضات سيتي بيبي وسط;حفاضة;2;1.5;3;21:31:10
24;اخرى;831;فلاش ارضيات;زجاجة;1;4;4;21:31:24
25;اخرى;824;صابون اسمر عباد ( قطعة );قطعة;1;1.5;1.5;21:31:32
26;اخرى;832;شاهين بوتجاز;زجاجة;1;3.5;3.5;21:31:53
27;مبيدات;609;بخور ناموس قرص;قرص;2;1.25;2.5;21:50:25
28;ورقيات;507;سندريلا كبير;كيس;1;8;8;22:09:46
29;سوائل;410;دوني سائل;كيلو;1;4;4;22:11:00
30;سوائل;422;مزيل بقع;كيلو;0.25;5;1.25;22:11:06
