process_id;category_name;product_id;product_name;unit;amount;price;total;selling_time
1;سوائل;422;مزيل بقع;كيلو;0.5;5.0;2.5;13:17:30
2;سوائل;413;صابون سائل;كيلو;3.5;3.0;10.5;13:17:42
3;سوائل;422;مزيل بقع;كيلو;0.5;5.0;2.5;13:17:50
4;سوائل;409;كلوروكس الوان سائل;كيلو;0.5;4.0;2.0;13:18:42
5;صابون تواليت;716;فاكس كبير عرض 2 بـ 7;عرض;1.0;7.0;7.0;13:18:54
6;اخرى;831;فلاش ارضيات;زجاجة;1.0;4.0;4.0;13:19:09
7;اخرى;827;سلك مواعين;كيلو;0.125;20.0;2.5;13:20:08
8;اخرى;824;صابون اسمر عباد ( قطعة );قطعة;1.0;1.5;1.5;13:20:14
9;سوائل;422;مزيل بقع;كيلو;0.5;5.0;2.5;13:20:29
10;اخرى;856;سلك استانلس بريمو;قطعة;1.0;4.0;4.0;13:21:00
11;سوائل;418;برسيل جيل سايب;كيلو;2.0;4.0;8.0;13:21:31
12;مساحيق عادية;101;اريال * 2 ج;كيس;3.0;2.0;6.0;13:59:39
13;مساحيق عادية;128;اوكسي جيل الوان;كيس;6.0;1.5;9.0;13:59:45
14;مساحيق عادية;121;فل سايب;كيلو;0.5;8.0;4.0;20:14:34
15;سوائل;413;صابون سائل;كيلو;1.0;3.0;3.0;20:14:40
16;سوائل;412;كلور عادي;كيلو;2.0;1.0;2.0;20:14:45
17;مساحيق اتوماتيك;203;ايريال اتوماتيك سايب;كيلو;1.0;30.0;30.0;21:55:52
18;مبيدات;609;بخور ناموس قرص;قرص;1.0;1.25;1.25;21:56:21
19;ورقيات;518;حفاضات سيتي بيبي وسط;حفاضة;2.0;1.5;3.0;21:56:27
20;سوائل;410;دوني سائل;كيلو;0.5;4.0;2.0;21:56:38
21;مبيدات;609;بخور ناموس قرص;قرص;4.0;1.25;5.0;21:58:02
22;سوائل;409;كلوروكس الوان سائل;كيلو;1.25;4.0;5.0;11:06:05
23;سوائل;412;كلور عادي;كيلو;1.0;1.0;1.0;11:06:10
24;مساحيق عادية;133;اريال *5ج;كيس;1.0;5.0;5.0;11:06:33
