process_id;category_name;product_id;product_name;unit;amount;price;total;selling_time
1;مستحضرات;333;فير اند لافلي كيس;كيس;1.0;1.5;1.5;14:08:01
2;مستحضرات;337;كريم وان حساس;قطعة;1.0;10.0;10.0;14:08:10
3;مستحضرات;340;شامبو شيروزا اكياس;قطعة;1.0;0.5;0.5;14:08:23
4;مستحضرات;386;سويت حرير;قطعة;1.0;5.0;5.0;14:08:32
5;مستحضرات;336;سويت 3*1;قطعة;1.0;5.0;5.0;14:08:42
6;ورقيات;554;حفاضات سيتي بيبي ماكس;حفاضة;13.0;1.5;19.5;14:09:09
7;سوائل;412;كلور عادي;كيلو;2.0;1.0;2.0;14:10:32
8;سوائل;413;صابون سائل;كيلو;1.0;3.0;3.0;14:10:41
9;مستحضرات;331;جيل هير كود كيس;كيس;3.0;1.0;3.0;14:10:53
10;اخرى;827;سلك مواعين;كيلو;0.5;20.0;10.0;14:11:05
11;سوائل;413;صابون سائل;كيلو;1.0;3.0;3.0;14:11:16
12;ورقيات;517;حفاضات سيتي بيبي صغير;حفاضة;2.0;1.5;3.0;14:11:39
13;ورقيات;519;حفاضات سيتي بيبي كبير;حفاضة;2.0;1.5;3.0;14:11:46
14;مستحضرات;341;شامبو سباركل اكياس;قطعة;2.0;0.5;1.0;14:12:01
15;سوائل;413;صابون سائل;كيلو;1.0;3.0;3.0;14:12:13
16;اخرى;827;سلك مواعين;كيلو;0.25;20.0;5.0;14:12:22
17;مساحيق عادية;114;اوكسي صغير ;كيس;2.0;10.0;20.0;14:12:56
18;سوائل;410;دوني سائل;كيلو;1.0;4.0;4.0;14:13:06
19;سوائل;422;مزيل بقع;كيلو;1.0;5.0;5.0;14:13:14
20;اخرى;827;سلك مواعين;كيلو;0.125;20.0;2.5;14:13:38
21;اخرى;824;صابون اسمر عباد ( قطعة );قطعة;2.0;1.5;3.0;14:13:44
22;اخرى;818;كلوروكس الوان ظرف;كيس;2.0;1.5;3.0;14:13:55
23;مستحضرات;385;برفان لولوا اكياس;كيس;2.0;1.0;2.0;14:14:05
24;مساحيق عادية;125;برسيل سايب;كيلو;0.5;13.0;6.5;14:14:15
25;سوائل;403;بطاس;كيلو;0.125;22.0;2.75;14:14:56
26;مستحضرات;303;زيت فاتيكا كبير;قطعة;1.0;11.0;11.0;14:15:08
27;سوائل;411;كلور خام;كيلو;2.5;3.0;7.5;15:05:51
28;سوائل;409;كلوروكس الوان سائل;كيلو;1.0;4.0;4.0;15:06:00
29;سوائل;413;صابون سائل;كيلو;1.0;3.0;3.0;15:06:06
30;مساحيق عادية;130;اوكسي * 5 ج;كيس;2.0;5.0;10.0;15:06:29
31;مستحضرات;385;برفان لولوا اكياس;كيس;1.0;1.0;1.0;18:39:26
32;مستحضرات;331;جيل هير كود كيس;كيس;2.0;1.0;2.0;18:39:38
33;مستحضرات;304;كريم فاتيكا صغير;قطعة;1.0;7.0;7.0;18:39:49
34;اخرى;827;سلك مواعين;كيلو;0.125;20.0;2.5;18:40:08
