process_id;category_name;product_id;product_name;unit;amount;price;total;selling_time
1;سوائل;407;ديتول سائل;كيلو;0.5;4.0;2.0;10:05:10
2;سوائل;406;فنيك سائل;كيلو;0.5;7.0;3.5;10:05:17
3;سوائل;409;كلوروكس الوان سائل;كيلو;1.0;4.0;4.0;10:05:23
4;مستحضرات;340;شامبو شيروزا اكياس;قطعة;5.0;0.5;2.5;10:05:38
5;مستحضرات;315;منك واكس;قطعة;1.0;10.0;10.0;11:08:19
6;اخرى;827;سلك مواعين;كيلو;0.25;20.0;5.0;11:08:32
7;سوائل;413;صابون سائل;كيلو;5.5;3.0;16.5;12:54:40
8;سوائل;409;كلوروكس الوان سائل;كيلو;0.5;4.0;2.0;13:25:20
9;سوائل;408;شامبو سجاد;كيلو;0.5;4.0;2.0;13:25:30
10;سوائل;422;مزيل بقع;كيلو;0.5;5.0;2.5;13:25:38
11;سوائل;412;كلور عادي;كيلو;1.0;1.0;1.0;13:25:45
12;سوائل;414;رغوة;كيلو;1.0;2.5;2.5;13:25:56
13;اخرى;854;كلوروكس الوان ظرف كبير;كيس;1.0;5.0;5.0;13:26:10
14;مستحضرات;303;زيت فاتيكا كبير;قطعة;1.0;11.0;11.0;13:26:20
15;اخرى;832;شاهين بوتجاز;زجاجة;1.0;3.5;3.5;13:27:04
16;مبيدات;609;بخور ناموس قرص;قرص;4.0;1.25;5.0;13:27:19
17;سوائل;413;صابون سائل;كيلو;2.0;3.0;6.0;18:24:58
18;سوائل;412;كلور عادي;كيلو;2.0;1.0;2.0;18:25:04
19;ورقيات;519;حفاضات سيتي بيبي كبير;حفاضة;4.0;1.5;6.0;18:25:13
20;ورقيات;519;حفاضات سيتي بيبي كبير;حفاضة;3.0;1.5;4.5;18:25:17
