process_id;category_name;product_id;product_name;unit;amount;price;total;selling_time
1;مساحيق عادية;111;ليدر صغير;كيس;4.0;9.0;36.0;08:59:27
2;مساحيق عادية;112;اوكسي * 2 ج;كيس;1.0;2.0;2.0;08:59:32
3;مساحيق عادية;121;فل سايب;كيلو;0.25;8.0;2.0;08:59:39
4;سوائل;422;مزيل بقع;كيلو;0.25;5.0;1.25;08:59:48
5;سوائل;413;صابون سائل;كيلو;2.0;3.0;6.0;09:08:41
6;اخرى;827;سلك مواعين;كيلو;0.25;20.0;5.0;09:08:50
7;مساحيق عادية;102;اريال * 3 ج;كيس;1.0;3.0;3.0;09:58:30
8;سوائل;404;زهرة;كيلو;0.125;16.0;2.0;09:58:37
9;سوائل;412;كلور عادي;كيلو;1.0;1.0;1.0;09:58:43
10;مساحيق عادية;102;اريال * 3 ج;كيس;2.0;3.0;6.0;10:19:12
11;مساحيق عادية;130;اوكسي * 5 ج;كيس;1.0;5.0;5.0;10:19:26
12;مساحيق عادية;128;اوكسي جيل الوان;كيس;3.0;1.5;4.5;10:19:42
13;سوائل;413;صابون سائل;كيلو;1.0;3.0;3.0;10:19:55
14;مساحيق عادية;128;اوكسي جيل الوان;كيس;2.0;1.5;3.0;12:27:29
15;مساحيق عادية;121;فل سايب;كيلو;0.25;8.0;2.0;12:27:42
16;سوائل;413;صابون سائل;كيلو;1.0;3.0;3.0;12:27:51
17;سوائل;412;كلور عادي;كيلو;1.0;1.0;1.0;12:27:58
18;سوائل;412;كلور عادي;كيلو;6.0;1.0;6.0;13:43:48
19;سوائل;414;رغوة;كيلو;3.0;2.5;7.5;13:43:58
20;سوائل;410;دوني سائل;كيلو;1.0;4.0;4.0;13:44:03
21;سوائل;418;برسيل جيل سايب;كيلو;1.0;4.0;4.0;13:44:09
22;سوائل;403;بطاس;كيلو;0.25;22.0;5.5;13:44:17
23;مساحيق عادية;130;اوكسي * 5 ج;كيس;1.0;5.0;5.0;13:44:38
24;مساحيق عادية;114;اوكسي صغير ;كيس;1.0;10.0;10.0;13:44:46
25;مساحيق عادية;121;فل سايب;كيلو;1.25;8.0;10.0;13:44:54
26;مساحيق عادية;128;اوكسي جيل الوان;كيس;2.0;1.5;3.0;13:45:53
27;اخرى;841;كلوروكس باودر;كيس;3.0;2.0;6.0;13:47:07
28;ورقيات;554;حفاضات سيتي بيبي ماكس;حفاضة;4.0;1.5;6.0;13:47:16
29;ورقيات;501;زينة جيب ( كيس );باكو;1.0;1.0;1.0;13:47:28
30;اخرى;827;سلك مواعين;كيلو;0.125;20.0;2.5;13:50:13
31;ورقيات;554;حفاضات سيتي بيبي ماكس;حفاضة;2.0;1.5;3.0;15:57:24
32;صابون تواليت;701;دوش;قطعة;1.0;2.0;2.0;15:57:36
33;سوائل;409;كلوروكس الوان سائل;كيلو;0.25;4.0;1.0;15:57:44
34;سوائل;412;كلور عادي;كيلو;1.0;1.0;1.0;16:00:30
35;مساحيق عادية;130;اوكسي * 5 ج;كيس;1.0;5.0;5.0;16:00:37
36;مساحيق عادية;112;اوكسي * 2 ج;كيس;1.0;2.0;2.0;16:32:14
37;سوائل;412;كلور عادي;كيلو;1.0;1.0;1.0;16:32:21
38;اخرى;847;كيلو معطر ياسمين;كيلو;0.125;20.0;2.5;16:33:18
39;صابون تواليت;710;سافانا;قطعة;1.0;5.0;5.0;16:33:26
40;سوائل;422;مزيل بقع;كيلو;0.5;5.0;2.5;16:33:39
41;مبيدات;609;بخور ناموس قرص;قرص;2.0;1.25;2.5;16:33:49
