process_id;category_name;product_id;product_name;unit;amount;price;total;selling_time
1;ورقيات;519;حفاضات سيتي بيبي كبير;حفاضة;1.0;1.5;1.5;11:52:16
2;مستحضرات;387;شامبو هيد اكياس عرض;شريط;1.0;1.0;1.0;11:52:28
3;اخرى;827;سلك مواعين;كيلو;0.125;20.0;2.5;11:52:38
4;مساحيق عادية;114;اوكسي صغير ;كيس;2.0;10.0;20.0;12:53:12
5;مساحيق عادية;130;اوكسي * 5 ج;كيس;2.0;5.0;10.0;12:53:18
6;مساحيق عادية;128;اوكسي جيل الوان;كيس;2.0;1.5;3.0;12:55:04
7;مساحيق عادية;112;اوكسي * 2 ج;كيس;1.0;2.0;2.0;12:55:07
8;اخرى;820;كلوروكس ابيض ظرف;كيس;1.0;3.0;3.0;12:55:17
9;اخرى;810;معطر دارين 1/4 كيلو;زجاجة;1.0;6.0;6.0;12:55:22
10;مستحضرات;387;شامبو هيد اكياس عرض;شريط;1.0;1.0;1.0;12:55:34
11;سوائل;413;صابون سائل;كيلو;1.0;3.0;3.0;12:55:42
12;سوائل;412;كلور عادي;كيلو;1.0;1.0;1.0;12:55:48
13;صابون تواليت;701;دوش;قطعة;2.0;2.0;4.0;12:55:59
14;مستحضرات;365;فازلين طبي;علبة;1.0;2.0;2.0;12:56:12
15;مستحضرات;315;منك واكس;قطعة;1.0;10.0;10.0;14:08:08
16;مستحضرات;336;سويت 3*1;قطعة;1.0;5.0;5.0;14:08:15
17;ورقيات;554;حفاضات سيتي بيبي ماكس;حفاضة;1.0;1.5;1.5;14:08:26
18;سوائل;413;صابون سائل;كيلو;36.0;3.0;108.0;17:23:06
19;سوائل;410;دوني سائل;كيلو;2.0;4.0;8.0;17:23:17
20;سوائل;412;كلور عادي;كيلو;9.5;1.0;9.5;17:23:30
21;سوائل;406;فنيك سائل;كيلو;4.0;7.0;28.0;17:23:48
22;سوائل;414;رغوة;كيلو;3.5;2.5;8.75;17:24:04
23;اخرى;835;ورنيش سائل اسمر;علبة;1.0;7.0;7.0;18:01:48
24;مستحضرات;331;جيل هير كود كيس;كيس;2.0;1.0;2.0;19:36:04
25;ورقيات;554;حفاضات سيتي بيبي ماكس;حفاضة;1.0;1.5;1.5;19:36:16
26;اخرى;827;سلك مواعين;كيلو;0.125;20.0;2.5;19:36:34
27;سوائل;413;صابون سائل;كيلو;0.5;3.0;1.5;19:36:46
28;سوائل;411;كلور خام;كيلو;1.0;3.0;3.0;19:36:54
