process_id;category_name;product_id;product_name;unit;amount;price;total;selling_time
1;ورقيات;540;شنطة سيتي بيبي كبير;شنطة;1.0;52.0;52.0;09:15:48
2;ورقيات;504;ليدو سحب 750;علبة;1.0;16.0;16.0;09:15:58
3;سوائل;403;بطاس;كيلو;0.25;22.0;5.5;09:16:06
4;سوائل;412;كلور عادي;كيلو;5.0;1.0;5.0;09:16:15
5;مساحيق عادية;114;اوكسي صغير ;كيس;1.0;10.0;10.0;09:16:28
6;ورقيات;519;حفاضات سيتي بيبي كبير;حفاضة;2.0;1.5;3.0;09:45:32
7;سوائل;414;رغوة;كيلو;0.5;2.5;1.25;10:39:28
8;مساحيق عادية;130;اوكسي * 5 ج;كيس;1.0;5.0;5.0;10:39:41
9;مساحيق عادية;125;برسيل سايب;كيلو;0.5;13.0;6.5;10:39:48
10;اخرى;846;كيلو معطر خوخ;كيلو;0.5;20.0;10.0;12:49:44
11;سوائل;406;فنيك سائل;كيلو;0.5;7.0;3.5;12:49:59
12;سوائل;414;رغوة;كيلو;4.0;2.5;10.0;17:32:29
13;سوائل;408;شامبو سجاد;كيلو;1.0;4.0;4.0;17:32:44
14;ورقيات;507;سندريلا كبير;كيس;2.0;8.0;16.0;18:37:01
15;اخرى;859;غطا بوتجاز دهبي 140 جرام;بـ جنيه;1.0;12.0;12.0;18:37:10
16;صابون تواليت;710;سافانا;قطعة;1.0;5.0;5.0;18:37:19
17;صابون تواليت;718;رويال ليزر;قطعة;1.0;5.0;5.0;18:37:23
18;مساحيق عادية;128;اوكسي جيل الوان;كيس;4.0;1.5;6.0;18:37:35
19;مساحيق عادية;101;اريال * 2 ج;كيس;2.0;2.0;4.0;18:37:40
20;اخرى;830;فيبا 4 لتر;جركن;1.0;35.0;35.0;19:37:18
21;مساحيق عادية;101;اريال * 2 ج;كيس;4.0;2.0;8.0;19:37:26
22;سوائل;413;صابون سائل;كيلو;2.0;3.0;6.0;22:42:56
23;مبيدات;609;بخور ناموس قرص;قرص;7.0;1.25;8.75;22:43:02
