process_id;category_name;product_id;product_name;unit;amount;price;total;selling_time
1;سوائل;404;زهرة;كيلو;0.25;16.0;4.0;10:25:49
2;ورقيات;554;حفاضات سيتي بيبي ماكس;حفاضة;12.0;1.5;18.0;10:26:06
3;صابون تواليت;701;دوش;قطعة;1.0;2.0;2.0;10:26:23
4;ورقيات;554;حفاضات سيتي بيبي ماكس;حفاضة;4.0;1.5;6.0;10:41:17
5;ورقيات;554;حفاضات سيتي بيبي ماكس;حفاضة;3.0;1.5;4.5;10:57:04
6;مساحيق اتوماتيك;212;اوكسي اتوماتيك سايب;كيلو;1.0;24.0;24.0;10:57:20
7;اخرى;827;سلك مواعين;كيلو;0.25;20.0;5.0;11:41:25
8;سوائل;413;صابون سائل;كيلو;1.0;3.0;3.0;11:41:33
9;سوائل;414;رغوة;كيلو;1.0;2.5;2.5;12:00:58
10;مساحيق عادية;103;اريال صغير;كيس;1.0;10.0;10.0;12:01:08
11;مساحيق عادية;137;اريال 2 كيلو;كيس;1.0;46.0;46.0;12:09:25
12;مستحضرات;324;حمام كريم فاتيكا 1/2 كيلو;قطعة;1.0;21.0;21.0;16:02:34
13;مستحضرات;341;شامبو سباركل اكياس;قطعة;1.0;0.5;0.5;16:02:45
14;مستحضرات;357;شامبو سباركل شريط;شريط;1.0;5.0;5.0;16:02:53
15;مستحضرات;304;كريم فاتيكا صغير;قطعة;1.0;7.0;7.0;16:03:14
16;سوائل;413;صابون سائل;كيلو;1.0;3.0;3.0;16:03:33
17;ورقيات;510;اولويز دوبل;كيس;1.0;18.0;18.0;16:03:42
18;اخرى;827;سلك مواعين;كيلو;0.125;20.0;2.5;16:03:51
19;مساحيق عادية;105;برسيل * 2 ج;كيس;5.0;2.0;10.0;16:21:14
20;مساحيق عادية;125;برسيل سايب;كيلو;0.5;13.0;6.5;17:50:41
21;سوائل;408;شامبو سجاد;كيلو;1.0;4.0;4.0;17:50:50
22;سوائل;425;فانيش سايب;كيلو;0.5;10.0;5.0;17:50:57
23;مبيدات;609;بخور ناموس قرص;قرص;2.0;1.25;2.5;17:51:14
24;اخرى;815;بخور شيخ العرب ( عود );عود;2.0;0.75;1.5;17:51:23
25;مستحضرات;381;حنة فاتيكا;كيس;1.0;8.0;8.0;18:33:11
26;مساحيق عادية;121;فل سايب;كيلو;3.0;8.0;24.0;22:09:36
27;مستحضرات;308;زيت املا وسط;قطعة;1.0;19.0;19.0;22:09:51
28;مستحضرات;305;كريم فاتيكا وسط;قطعة;1.0;12.0;12.0;22:10:52
29;مستحضرات;318;كريم بانسيه ملمع;قطعة;1.0;9.0;9.0;22:11:17
30;مساحيق عادية;103;اريال صغير;كيس;2.0;10.0;20.0;22:11:40
31;مساحيق عادية;121;فل سايب;كيلو;1.0;8.0;8.0;22:11:45
32;مبيدات;601;رش طائر بيرسول;زجاجة;1.0;12.0;12.0;22:12:18
