process_id;category_name;product_id;product_name;unit;amount;price;total;selling_time
1;مستحضرات;343;سيجنال وسط;قطعة;1.0;9.0;9.0;09:58:12
2;مستحضرات;337;كريم وان حساس;قطعة;1.0;10.0;10.0;09:58:20
3;سوائل;404;زهرة;كيلو;0.125;16.0;2.0;11:17:40
4;سوائل;412;كلور عادي;كيلو;1.0;1.0;1.0;11:17:50
5;سوائل;413;صابون سائل;كيلو;0.5;3.0;1.5;11:17:58
6;مساحيق عادية;114;اوكسي صغير ;كيس;1.0;10.0;10.0;11:18:11
7;مساحيق عادية;101;اريال * 2 ج;كيس;1.0;2.0;2.0;11:19:44
8;مستحضرات;341;شامبو سباركل اكياس;قطعة;6.0;0.5;3.0;12:34:35
9;سوائل;417;بـ جنيه بطاس;بـ جنيه;2.0;1.0;2.0;12:34:42
10;سوائل;413;صابون سائل;كيلو;2.0;3.0;6.0;12:39:48
11;سوائل;413;صابون سائل;كيلو;1.0;3.0;3.0;13:07:50
12;مبيدات;609;بخور ناموس قرص;قرص;8.0;1.25;10.0;13:07:59
13;اخرى;827;سلك مواعين;كيلو;0.125;20.0;2.5;13:08:10
14;اخرى;831;فلاش ارضيات;زجاجة;1.0;3.0;3.0;13:08:29
15;سوائل;415;بـ جنيه فنيك;بـ جنيه;5.0;1.0;5.0;18:02:25
16;سوائل;406;فنيك سائل;كيلو;0.5;7.0;3.5;18:02:33
17;سوائل;407;ديتول سائل;كيلو;0.5;4.0;2.0;18:02:39
18;سوائل;412;كلور عادي;كيلو;1.0;1.0;1.0;18:02:46
19;سوائل;410;دوني سائل;كيلو;0.5;4.0;2.0;18:02:52
20;مبيدات;609;بخور ناموس قرص;قرص;4.0;1.25;5.0;18:03:04
21;صابون تواليت;716;فاكس كبير عرض 2 بـ 7;عرض;1.0;7.0;7.0;18:03:13
22;اخرى;827;سلك مواعين;كيلو;0.25;20.0;5.0;18:03:20
23;مستحضرات;383;مسواك كبير;قطعة;1.0;10.0;10.0;19:39:06
24;مستحضرات;373;كريم ايفا بالعسل كبير;قطعة;1.0;16.5;16.5;20:55:30
25;مستحضرات;333;فير اند لافلي كيس;كيس;4.0;1.5;6.0;20:55:53
