process_id;category_name;product_id;product_name;unit;amount;price;total;selling_time
1;سوائل;418;برسيل جيل سايب;كيلو;5.0;4.0;20.0;10:49:38
2;مساحيق عادية;121;فل سايب;كيلو;1.25;8.0;10.0;10:49:48
3;مساحيق عادية;138;اوكسي 650 جرام;كيس;1.0;14.0;14.0;10:50:02
4;صابون تواليت;718;رويال ليزر;قطعة;1.0;5.0;5.0;10:50:11
5;اخرى;815;بخور شيخ العرب ( عود );عود;2.0;0.75;1.5;10:50:18
6;مساحيق عادية;121;فل سايب;كيلو;0.5;8.0;4.0;10:50:31
7;سوائل;407;ديتول سائل;كيلو;0.5;4.0;2.0;10:50:48
8;مساحيق عادية;121;فل سايب;كيلو;0.5;8.0;4.0;11:54:00
9;ورقيات;510;اولويز دوبل;كيس;1.0;18.0;18.0;11:54:07
10;مستحضرات;357;شامبو سباركل شريط;شريط;1.0;5.0;5.0;11:54:21
11;مستحضرات;305;كريم فاتيكا وسط;قطعة;1.0;12.0;12.0;11:54:30
12;صابون تواليت;713;دورو فريش;علبة;1.0;16.0;16.0;11:54:46
13;اخرى;810;معطر دارين 1/4 كيلو;زجاجة;1.0;6.0;6.0;11:55:06
14;مساحيق عادية;125;برسيل سايب;كيلو;0.25;13.0;3.25;12:10:45
15;مساحيق عادية;121;فل سايب;كيلو;0.5;8.0;4.0;14:28:13
16;سوائل;410;دوني سائل;كيلو;1.0;4.0;4.0;14:28:22
17;سوائل;410;دوني سائل;كيلو;1.0;4.0;4.0;17:20:59
18;سوائل;410;دوني سائل;كيلو;1.5;4.0;6.0;20:41:56
19;مساحيق عادية;128;اوكسي جيل الوان;كيس;2.0;1.5;3.0;20:42:04
20;مبيدات;601;رش طائر بيرسول;زجاجة;1.0;12.0;12.0;12:50:11
21;سوائل;408;شامبو سجاد;كيلو;1.5;4.0;6.0;12:50:18
22;سوائل;409;كلوروكس الوان سائل;كيلو;1.5;4.0;6.0;12:50:26
23;اخرى;834;فانيش ظرف بودر;كيس;1.0;5.0;5.0;12:50:44
24;سوائل;404;زهرة;كيلو;0.25;16.0;4.0;12:58:31
