process_id;category_name;product_id;product_name;unit;amount;price;total;selling_time
1;مساحيق عادية;121;فل سايب;كيلو;2.0;8.0;16.0;09:50:13
2;سوائل;418;برسيل جيل سايب;كيلو;2.5;4.0;10.0;09:50:24
3;سوائل;412;كلور عادي;كيلو;1.0;1.0;1.0;09:50:41
4;صابون تواليت;716;فاكس كبير عرض 2 بـ 7;عرض;1.0;7.0;7.0;09:50:51
5;سوائل;413;صابون سائل;كيلو;2.0;3.0;6.0;11:54:50
6;سوائل;413;صابون سائل;كيلو;1.0;3.0;3.0;12:44:44
7;ورقيات;504;ليدو سحب 750;علبة;1.0;16.0;16.0;12:44:56
8;اخرى;815;بخور شيخ العرب ( عود );عود;2.0;0.75;1.5;12:45:09
9;اخرى;829;استيكر بوتجاز;قطعة;1.0;5.0;5.0;12:45:22
10;مستحضرات;387;شامبو هيد اكياس عرض;شريط;1.0;1.0;1.0;12:45:35
11;سوائل;414;رغوة;كيلو;1.0;2.5;2.5;15:18:06
12;سوائل;412;كلور عادي;كيلو;5.0;1.0;5.0;15:18:12
13;مساحيق اتوماتيك;203;ايريال اتوماتيك سايب;كيلو;0.5;30.0;15.0;17:02:20
14;مساحيق عادية;111;ليدر صغير;كيس;1.0;9.0;9.0;17:49:57
15;صابون تواليت;701;دوش;قطعة;1.0;2.0;2.0;17:50:16
16;سوائل;414;رغوة;كيلو;1.0;2.5;2.5;17:50:31
17;مساحيق عادية;104;اريال كبير;كيس;1.0;25.0;25.0;17:50:45
18;سوائل;406;فنيك سائل;كيلو;0.25;7.0;1.75;17:51:01
19;اخرى;819;كلوروكس ابيض زجاج 1 لتر;زجاجة;1.0;10.0;10.0;17:51:11
20;سوائل;414;رغوة;كيلو;1.0;2.5;2.5;17:51:21
21;مستحضرات;385;برفان لولوا اكياس;كيس;1.0;1.0;1.0;17:51:30
22;سوائل;412;كلور عادي;كيلو;2.0;1.0;2.0;17:51:38
23;سوائل;406;فنيك سائل;كيلو;0.5;7.0;3.5;17:51:48
24;مساحيق عادية;102;اريال * 3 ج;كيس;1.0;3.0;3.0;17:51:56
25;ورقيات;554;حفاضات سيتي بيبي ماكس;حفاضة;2.0;1.5;3.0;17:52:11
26;مستحضرات;340;شامبو شيروزا اكياس;قطعة;4.0;0.5;2.0;17:52:29
27;ورقيات;504;ليدو سحب 750;علبة;1.0;16.0;16.0;17:52:47
28;ورقيات;503;فاين بكر مطبخ;بكرة;1.0;5.5;5.5;17:52:59
29;اخرى;856;سلك استانلس بريمو;قطعة;2.0;4.0;8.0;17:53:13
30;صابون تواليت;710;سافانا;قطعة;2.0;5.0;10.0;17:53:26
31;سوائل;413;صابون سائل;كيلو;0.5;3.0;1.5;17:53:35
32;مساحيق عادية;110;ليدر * 2 ج;كيس;1.0;2.0;2.0;17:54:26
33;سوائل;412;كلور عادي;كيلو;1.0;1.0;1.0;17:54:34
34;سوائل;414;رغوة;كيلو;1.0;2.5;2.5;19:48:39
35;اخرى;820;كلوروكس ابيض ظرف;كيس;1.0;3.0;3.0;19:48:51
36;اخرى;824;صابون اسمر عباد ( قطعة );قطعة;2.0;1.5;3.0;19:49:03
