process_id;category_name;product_id;product_name;unit;amount;price;total;selling_time
1;مساحيق عادية;121;فل سايب;كيلو;2.5;8.0;20.0;09:39:51
2;سوائل;418;برسيل جيل سايب;كيلو;5.0;4.0;20.0;09:39:58
3;صابون تواليت;710;سافانا;قطعة;1.0;5.0;5.0;09:40:07
4;صابون تواليت;713;دورو فريش;علبة;1.0;16.0;16.0;09:40:13
5;مساحيق عادية;121;فل سايب;كيلو;0.5;8.0;4.0;10:37:22
6;سوائل;412;كلور عادي;كيلو;1.0;1.0;1.0;10:37:28
7;سوائل;410;دوني سائل;كيلو;0.5;4.0;2.0;10:37:37
8;اخرى;827;سلك مواعين;كيلو;0.125;20.0;2.5;12:37:04
9;ورقيات;519;حفاضات سيتي بيبي كبير;حفاضة;1.0;1.5;1.5;12:37:22
10;سوائل;413;صابون سائل;كيلو;9.5;3.0;28.5;14:13:23
11;سوائل;406;فنيك سائل;كيلو;1.0;7.0;7.0;14:16:02
12;ورقيات;519;حفاضات سيتي بيبي كبير;حفاضة;1.0;1.5;1.5;14:16:08
13;مستحضرات;385;برفان لولوا اكياس;كيس;1.0;1.0;1.0;14:16:16
14;مساحيق عادية;121;فل سايب;كيلو;0.25;8.0;2.0;14:36:44
15;ورقيات;504;ليدو سحب 750;علبة;1.0;16.0;16.0;14:58:45
16;مساحيق عادية;133;اريال *5ج;كيس;1.0;5.0;5.0;14:58:52
17;اخرى;818;كلوروكس الوان ظرف;كيس;1.0;1.5;1.5;14:59:00
18;سوائل;412;كلور عادي;كيلو;2.0;1.0;2.0;15:26:36
19;مساحيق عادية;121;فل سايب;كيلو;0.25;8.0;2.0;15:27:43
20;سوائل;422;مزيل بقع;كيلو;4.5;5.0;22.5;16:41:08
