process_id;category_name;product_id;product_name;unit;amount;price;total;selling_time
1;ورقيات;509;اولويز كبير;كيس;1.0;12.0;12.0;10:19:31
2;مساحيق عادية;112;اوكسي * 2 ج;كيس;1.0;2.0;2.0;12:04:47
3;اخرى;815;بخور شيخ العرب ( عود );عود;1.0;0.75;0.75;12:05:00
4;سوائل;415;بـ جنيه فنيك;بـ جنيه;1.0;1.0;1.0;12:05:09
5;سوائل;413;صابون سائل;كيلو;1.0;3.0;3.0;12:05:14
6;مساحيق عادية;110;ليدر * 2 ج;كيس;1.0;2.0;2.0;12:05:28
7;صابون تواليت;718;رويال ليزر;قطعة;1.0;5.0;5.0;12:05:43
8;ورقيات;554;حفاضات سيتي بيبي ماكس;حفاضة;2.0;1.5;3.0;12:07:15
9;ورقيات;507;سندريلا كبير;كيس;1.0;8.0;8.0;12:07:22
10;مستحضرات;306;كريم فاتيكا كبير;قطعة;1.0;15.0;15.0;12:07:41
11;مستحضرات;304;كريم فاتيكا صغير;قطعة;1.0;7.0;7.0;12:08:55
12;سوائل;407;ديتول سائل;كيلو;1.25;4.0;5.0;12:49:36
13;مساحيق عادية;112;اوكسي * 2 ج;كيس;1.0;2.0;2.0;13:49:53
14;مساحيق عادية;121;فل سايب;كيلو;1.0;8.0;8.0;13:49:59
15;مساحيق عادية;121;فل سايب;كيلو;1.25;8.0;10.0;15:46:51
16;مستحضرات;385;برفان لولوا اكياس;كيس;1.0;1.0;1.0;15:46:59
17;سوائل;413;صابون سائل;كيلو;7.25;3.0;21.75;15:47:10
18;سوائل;406;فنيك سائل;كيلو;1.0;7.0;7.0;15:47:18
19;صابون تواليت;718;رويال ليزر;قطعة;1.0;5.0;5.0;15:47:34
20;ورقيات;519;حفاضات سيتي بيبي كبير;حفاضة;2.0;1.5;3.0;15:47:40
21;اخرى;827;سلك مواعين;كيلو;0.125;20.0;2.5;15:47:49
22;ورقيات;509;اولويز كبير;كيس;1.0;12.0;12.0;15:48:09
