process_id;category_name;product_id;product_name;unit;amount;price;total;selling_time
1;سوائل;418;برسيل جيل سايب;كيلو;1.25;4.0;5.0;11:31:28
2;سوائل;413;صابون سائل;كيلو;1.0;3.0;3.0;11:31:36
3;اخرى;815;بخور شيخ العرب ( عود );عود;2.0;0.75;1.5;11:32:06
4;اخرى;853;زجاجة معطر عود;كيلو;0.25;;0.0;11:32:21
5;اخرى;815;بخور شيخ العرب ( عود );عود;2.0;0.75;1.5;11:55:46
6;سوائل;413;صابون سائل;كيلو;2.0;3.0;6.0;11:56:07
7;سوائل;411;كلور خام;كيلو;1.0;3.0;3.0;11:56:18
8;مستحضرات;365;فازلين طبي;علبة;1.0;2.0;2.0;12:01:31
9;سوائل;413;صابون سائل;كيلو;2.0;3.0;6.0;12:53:09
10;سوائل;415;بـ جنيه فنيك;بـ جنيه;1.5;1.0;1.5;12:53:17
11;اخرى;827;سلك مواعين;كيلو;0.125;20.0;2.5;12:53:57
12;اخرى;827;سلك مواعين;كيلو;0.25;20.0;5.0;13:32:11
13;ورقيات;519;حفاضات سيتي بيبي كبير;حفاضة;2.0;1.5;3.0;13:32:22
14;ورقيات;517;حفاضات سيتي بيبي صغير;حفاضة;2.0;1.5;3.0;13:32:29
15;مستحضرات;337;كريم وان حساس;قطعة;1.0;10.0;10.0;14:07:30
16;سوائل;413;صابون سائل;كيلو;2.0;3.0;6.0;16:06:43
17;مساحيق عادية;103;اريال صغير;كيس;1.0;10.0;10.0;16:06:55
18;ورقيات;556;فاين سحب 550;علبة;1.0;12.0;12.0;16:08:15
19;صابون تواليت;710;سافانا;قطعة;1.0;5.0;5.0;16:08:23
20;صابون تواليت;710;سافانا;قطعة;2.0;5.0;10.0;19:00:50
21;سوائل;413;صابون سائل;كيلو;2.0;3.0;6.0;19:08:40
22;مستحضرات;336;سويت 3*1;قطعة;1.0;5.0;5.0;19:08:51
23;مبيدات;608;اقراص ناموس ريد;قرص;10.0;0.5;5.0;21:42:06
