process_id;category_name;product_id;product_name;unit;amount;price;total;selling_time
1;سوائل;415;بـ جنيه فنيك;بـ جنيه;1.0;1.0;1.0;10:39:38
2;سوائل;413;صابون سائل;كيلو;0.65;3.0;1.95;10:39:52
3;ورقيات;507;سندريلا كبير;كيس;1.0;8.0;8.0;10:40:05
4;اخرى;827;سلك مواعين;كيلو;0.125;20.0;2.5;10:40:15
5;مساحيق عادية;136;فل 10 كيلو;شيكارة;1.0;76.0;76.0;12:55:24
6;سوائل;412;كلور عادي;كيلو;0.5;1.0;0.5;13:22:24
7;سوائل;411;كلور خام;كيلو;0.5;3.0;1.5;13:22:30
8;سوائل;406;فنيك سائل;كيلو;0.5;7.0;3.5;13:22:37
9;ورقيات;554;حفاضات سيتي بيبي ماكس;حفاضة;2.0;1.5;3.0;13:22:46
10;صابون تواليت;701;دوش;قطعة;1.0;2.0;2.0;13:23:06
11;ورقيات;509;اولويز كبير;كيس;1.0;12.0;12.0;13:43:17
12;سوائل;413;صابون سائل;كيلو;0.65;3.0;1.95;13:43:25
13;سوائل;412;كلور عادي;كيلو;1.0;1.0;1.0;14:16:45
14;سوائل;425;فانيش سايب;كيلو;0.25;10.0;2.5;14:16:53
15;سوائل;416;بـ جنيه زهرة;بـ جنيه;1.0;1.0;1.0;14:16:57
16;سوائل;405;زهرة بيضا;كيلو;0.25;10.0;2.5;14:17:05
17;مساحيق اتوماتيك;212;اوكسي اتوماتيك سايب;كيلو;0.5;24.0;12.0;14:17:14
18;مساحيق عادية;136;فل 10 كيلو;شيكارة;1.0;76.0;76.0;15:31:37
19;مساحيق عادية;111;ليدر صغير;كيس;1.0;9.0;9.0;15:31:43
20;مساحيق عادية;125;برسيل سايب;كيلو;1.0;13.0;13.0;15:49:43
21;سوائل;412;كلور عادي;كيلو;1.0;1.0;1.0;15:49:51
22;سوائل;413;صابون سائل;كيلو;3.0;3.0;9.0;15:49:56
23;سوائل;406;فنيك سائل;كيلو;0.5;7.0;3.5;15:50:06
24;ورقيات;519;حفاضات سيتي بيبي كبير;حفاضة;3.0;1.5;4.5;15:50:18
25;مستحضرات;387;شامبو هيد اكياس عرض;شريط;1.0;1.0;1.0;15:50:32
26;سوائل;412;كلور عادي;كيلو;2.0;1.0;2.0;16:07:01
27;سوائل;416;بـ جنيه زهرة;بـ جنيه;1.0;1.0;1.0;16:07:07
28;مساحيق عادية;121;فل سايب;كيلو;0.5;8.0;4.0;16:07:15
29;اخرى;827;سلك مواعين;كيلو;0.5;20.0;10.0;16:07:27
30;سوائل;413;صابون سائل;كيلو;2.0;3.0;6.0;16:08:02
31;ورقيات;519;حفاضات سيتي بيبي كبير;حفاضة;1.0;1.5;1.5;16:08:43
32;ورقيات;554;حفاضات سيتي بيبي ماكس;حفاضة;2.0;1.5;3.0;16:08:50
33;صابون تواليت;707;لوكس وسط;قطعة;1.0;6.0;6.0;16:09:09
34;سوائل;411;كلور خام;كيلو;2.5;3.0;7.5;16:45:17
35;اخرى;827;سلك مواعين;كيلو;0.125;20.0;2.5;16:45:35
36;ورقيات;519;حفاضات سيتي بيبي كبير;حفاضة;1.0;1.5;1.5;17:23:06
37;ورقيات;507;سندريلا كبير;كيس;1.0;8.0;8.0;17:23:20
38;مساحيق عادية;112;اوكسي * 2 ج;كيس;1.0;2.0;2.0;18:17:34
39;مساحيق عادية;132;ليدر كبير;كيس;1.0;15.0;15.0;18:17:41
40;سوائل;413;صابون سائل;كيلو;1.0;3.0;3.0;18:17:48
41;سوائل;412;كلور عادي;كيلو;1.0;1.0;1.0;19:21:02
42;سوائل;414;رغوة;كيلو;1.0;2.5;2.5;19:21:07
43;سوائل;413;صابون سائل;كيلو;4.5;3.0;13.5;20:21:26
