process_id;category_name;product_id;product_name;unit;amount;price;total;selling_time
1;مساحيق عادية;128;اوكسي جيل الوان;كيس;2.0;1.5;3.0;10:10:03
2;مساحيق عادية;125;برسيل سايب;كيلو;0.25;13.0;3.25;10:10:14
3;مساحيق اتوماتيك;203;ايريال اتوماتيك سايب;كيلو;1.0;30.0;30.0;10:10:26
4;اخرى;820;كلوروكس ابيض ظرف;كيس;1.0;3.0;3.0;10:10:45
5;اخرى;841;كلوروكس باودر;كيس;1.0;2.0;2.0;10:10:55
6;مستحضرات;340;شامبو شيروزا اكياس;قطعة;4.0;0.5;2.0;10:11:05
7;سوائل;412;كلور عادي;كيلو;1.0;1.0;1.0;10:11:15
8;مساحيق عادية;121;فل سايب;كيلو;0.25;8.0;2.0;10:11:24
9;مساحيق عادية;121;فل سايب;كيلو;1.0;8.0;8.0;11:15:58
10;ورقيات;540;شنطة سيتي بيبي كبير;شنطة;1.0;52.0;52.0;13:48:23
11;مستحضرات;313;بلوب واكس صغير;قطعة;1.0;9.0;9.0;13:48:35
12;مستحضرات;340;شامبو شيروزا اكياس;قطعة;6.0;0.5;3.0;13:48:52
13;مستحضرات;387;شامبو هيد اكياس عرض;شريط;1.0;1.0;1.0;13:49:02
14;مستحضرات;333;فير اند لافلي كيس;كيس;1.0;1.5;1.5;13:49:12
15;سوائل;418;برسيل جيل سايب;كيلو;4.0;4.0;16.0;13:49:22
16;سوائل;406;فنيك سائل;كيلو;0.5;7.0;3.5;13:49:41
17;سوائل;411;كلور خام;كيلو;0.5;3.0;1.5;13:49:47
18;مساحيق عادية;101;اريال * 2 ج;كيس;2.0;2.0;4.0;13:49:55
19;مساحيق عادية;128;اوكسي جيل الوان;كيس;8.0;1.5;12.0;13:50:14
20;اخرى;815;بخور شيخ العرب ( عود );عود;2.0;0.75;1.5;13:50:23
21;اخرى;841;كلوروكس باودر;كيس;1.0;2.0;2.0;13:50:32
22;اخرى;827;سلك مواعين;كيلو;0.125;20.0;2.5;13:50:50
23;ورقيات;554;حفاضات سيتي بيبي ماكس;حفاضة;5.0;1.5;7.5;13:50:59
24;مستحضرات;365;فازلين طبي;علبة;5.0;2.0;10.0;13:51:12
25;سوائل;413;صابون سائل;كيلو;1.0;3.0;3.0;17:51:20
26;مساحيق اتوماتيك;212;اوكسي اتوماتيك سايب;كيلو;0.5;24.0;12.0;21:37:43
27;ورقيات;519;حفاضات سيتي بيبي كبير;حفاضة;6.0;1.5;9.0;21:37:59
